Provinsi,NamaKab/Kota,KodeKab/Kota,Bahan bakar memasak,Jumlah rumah tangga
ACEH,SIMEULUE,1101,Listrik/Gas,112
ACEH,SIMEULUE,1101,Minyak tanah,"1,596"
ACEH,SIMEULUE,1101,Briket/Arang/Kayu,"10,041"
ACEH,SIMEULUE,1101,Tidak memasak di rumah,17
ACEH,ACEH SINGKIL,1102,Listrik/Gas,"2,711"
ACEH,ACEH SINGKIL,1102,Minyak tanah,536
ACEH,ACEH SINGKIL,1102,Briket/Arang/Kayu,"9,186"
ACEH,ACEH SINGKIL,1102,Tidak memasak di rumah,34
ACEH,ACEH SELATAN,1103,Listrik/Gas,"6,930"
ACEH,ACEH SELATAN,1103,Minyak tanah,403
ACEH,ACEH SELATAN,1103,Briket/Arang/Kayu,"21,960"
ACEH,ACEH SELATAN,1103,Tidak memasak di rumah,102
ACEH,ACEH TENGGARA,1104,Listrik/Gas,"6,686"
ACEH,ACEH TENGGARA,1104,Minyak tanah,310
ACEH,ACEH TENGGARA,1104,Briket/Arang/Kayu,"8,579"
ACEH,ACEH TENGGARA,1104,Tidak memasak di rumah,11
ACEH,ACEH TIMUR,1105,Listrik/Gas,"25,796"
ACEH,ACEH TIMUR,1105,Minyak tanah,395
ACEH,ACEH TIMUR,1105,Briket/Arang/Kayu,"21,237"
ACEH,ACEH TIMUR,1105,Tidak memasak di rumah,161
ACEH,ACEH TENGAH,1106,Listrik/Gas,"13,366"
ACEH,ACEH TENGAH,1106,Minyak tanah,104
ACEH,ACEH TENGAH,1106,Briket/Arang/Kayu,"6,287"
ACEH,ACEH TENGAH,1106,Tidak memasak di rumah,42
ACEH,ACEH BARAT,1107,Listrik/Gas,"6,974"
ACEH,ACEH BARAT,1107,Minyak tanah,124
ACEH,ACEH BARAT,1107,Briket/Arang/Kayu,"12,746"
ACEH,ACEH BARAT,1107,Tidak memasak di rumah,98
ACEH,ACEH BESAR,1108,Listrik/Gas,"31,064"
ACEH,ACEH BESAR,1108,Minyak tanah,"1,177"
ACEH,ACEH BESAR,1108,Briket/Arang/Kayu,"6,882"
ACEH,ACEH BESAR,1108,Tidak memasak di rumah,388
ACEH,PIDIE,1109,Listrik/Gas,"37,521"
ACEH,PIDIE,1109,Minyak tanah,717
ACEH,PIDIE,1109,Briket/Arang/Kayu,"11,635"
ACEH,PIDIE,1109,Tidak memasak di rumah,233
ACEH,BIREUEN,1110,Listrik/Gas,"32,590"
ACEH,BIREUEN,1110,Minyak tanah,430
ACEH,BIREUEN,1110,Briket/Arang/Kayu,"19,972"
ACEH,BIREUEN,1110,Tidak memasak di rumah,230
ACEH,ACEH UTARA,1111,Listrik/Gas,"46,647"
ACEH,ACEH UTARA,1111,Minyak tanah,335
ACEH,ACEH UTARA,1111,Briket/Arang/Kayu,"33,164"
ACEH,ACEH UTARA,1111,Tidak memasak di rumah,469
ACEH,ACEH BARAT DAYA,1112,Listrik/Gas,"7,559"
ACEH,ACEH BARAT DAYA,1112,Minyak tanah,88
ACEH,ACEH BARAT DAYA,1112,Briket/Arang/Kayu,"10,386"
ACEH,ACEH BARAT DAYA,1112,Tidak memasak di rumah,40
ACEH,GAYO LUES,1113,Listrik/Gas,"3,911"
ACEH,GAYO LUES,1113,Minyak tanah,299
ACEH,GAYO LUES,1113,Briket/Arang/Kayu,"3,662"
ACEH,GAYO LUES,1113,Tidak memasak di rumah,2
ACEH,ACEH TAMIANG,1114,Listrik/Gas,"19,550"
ACEH,ACEH TAMIANG,1114,Minyak tanah,"1,166"
ACEH,ACEH TAMIANG,1114,Briket/Arang/Kayu,"7,859"
ACEH,ACEH TAMIANG,1114,Tidak memasak di rumah,179
ACEH,NAGAN RAYA,1115,Listrik/Gas,"8,928"
ACEH,NAGAN RAYA,1115,Minyak tanah,151
ACEH,NAGAN RAYA,1115,Briket/Arang/Kayu,"10,601"
ACEH,NAGAN RAYA,1115,Tidak memasak di rumah,58
ACEH,ACEH JAYA,1116,Listrik/Gas,"4,523"
ACEH,ACEH JAYA,1116,Minyak tanah,48
ACEH,ACEH JAYA,1116,Briket/Arang/Kayu,"3,338"
ACEH,ACEH JAYA,1116,Tidak memasak di rumah,43
ACEH,BENER MERIAH,1117,Listrik/Gas,"7,082"
ACEH,BENER MERIAH,1117,Minyak tanah,31
ACEH,BENER MERIAH,1117,Briket/Arang/Kayu,"2,355"
ACEH,BENER MERIAH,1117,Tidak memasak di rumah,9
ACEH,PIDIE JAYA,1118,Listrik/Gas,"14,422"
ACEH,PIDIE JAYA,1118,Minyak tanah,211
ACEH,PIDIE JAYA,1118,Briket/Arang/Kayu,"4,233"
ACEH,PIDIE JAYA,1118,Tidak memasak di rumah,117
ACEH,KOTA BANDA ACEH,1171,Listrik/Gas,"7,237"
ACEH,KOTA BANDA ACEH,1171,Minyak tanah,886
ACEH,KOTA BANDA ACEH,1171,Briket/Arang/Kayu,183
ACEH,KOTA BANDA ACEH,1171,Tidak memasak di rumah,114
ACEH,KOTA SABANG,1172,Listrik/Gas,"1,657"
ACEH,KOTA SABANG,1172,Minyak tanah,318
ACEH,KOTA SABANG,1172,Briket/Arang/Kayu,221
ACEH,KOTA SABANG,1172,Tidak memasak di rumah,57
ACEH,KOTA LANGSA,1173,Listrik/Gas,"7,754"
ACEH,KOTA LANGSA,1173,Minyak tanah,657
ACEH,KOTA LANGSA,1173,Briket/Arang/Kayu,"1,252"
ACEH,KOTA LANGSA,1173,Tidak memasak di rumah,27
ACEH,KOTA LHOKSEUMAWE,1174,Listrik/Gas,"10,307"
ACEH,KOTA LHOKSEUMAWE,1174,Minyak tanah,202
ACEH,KOTA LHOKSEUMAWE,1174,Briket/Arang/Kayu,"1,646"
ACEH,KOTA LHOKSEUMAWE,1174,Tidak memasak di rumah,28
ACEH,KOTA SUBULUSSALAM,1175,Listrik/Gas,"1,724"
ACEH,KOTA SUBULUSSALAM,1175,Minyak tanah,38
ACEH,KOTA SUBULUSSALAM,1175,Briket/Arang/Kayu,"5,541"
ACEH,KOTA SUBULUSSALAM,1175,Tidak memasak di rumah,7
ACEH,TOTAL,"305,051",Listrik/Gas,"10,222"
ACEH,TOTAL,"305,051",Minyak tanah,"212,966"
ACEH,TOTAL,"305,051",Briket/Arang/Kayu,"2,466"
SUMATERA UTARA,NIAS,1201,Listrik/Gas,27
SUMATERA UTARA,NIAS,1201,Minyak tanah,120
SUMATERA UTARA,NIAS,1201,Briket/Arang/Kayu,"20,838"
SUMATERA UTARA,NIAS,1201,Tidak memasak di rumah,18
SUMATERA UTARA,MANDAILING NATAL,1202,Listrik/Gas,"1,559"
SUMATERA UTARA,MANDAILING NATAL,1202,Minyak tanah,546
SUMATERA UTARA,MANDAILING NATAL,1202,Briket/Arang/Kayu,"29,355"
SUMATERA UTARA,MANDAILING NATAL,1202,Tidak memasak di rumah,102
SUMATERA UTARA,TAPANULI SELATAN,1203,Listrik/Gas,566
SUMATERA UTARA,TAPANULI SELATAN,1203,Minyak tanah,125
SUMATERA UTARA,TAPANULI SELATAN,1203,Briket/Arang/Kayu,"19,294"
SUMATERA UTARA,TAPANULI SELATAN,1203,Tidak memasak di rumah,89
SUMATERA UTARA,TAPANULI TENGAH,1204,Listrik/Gas,"2,973"
