Provinsi,NamaKab/Kota,KodeKab/Kota,Jumlah Rumah Tangga ,Status jamban
ACEH,SIMEULUE,1101,"3,599",Jamban Sendiri
ACEH,SIMEULUE,1101,"1,037",Jamban Bersama/Umum
ACEH,SIMEULUE,1101,"7,130",Tidak ada
ACEH,ACEH SINGKIL,1102,"7,060",Jamban Sendiri
ACEH,ACEH SINGKIL,1102,"2,456",Jamban Bersama/Umum
ACEH,ACEH SINGKIL,1102,"2,951",Tidak ada
ACEH,ACEH SELATAN,1103,"9,889",Jamban Sendiri
ACEH,ACEH SELATAN,1103,"2,627",Jamban Bersama/Umum
ACEH,ACEH SELATAN,1103,"16,879",Tidak ada
ACEH,ACEH TENGGARA,1104,"2,529",Jamban Sendiri
ACEH,ACEH TENGGARA,1104,"1,877",Jamban Bersama/Umum
ACEH,ACEH TENGGARA,1104,"11,180",Tidak ada
ACEH,ACEH TIMUR,1105,"23,405",Jamban Sendiri
ACEH,ACEH TIMUR,1105,"5,246",Jamban Bersama/Umum
ACEH,ACEH TIMUR,1105,"18,938",Tidak ada
ACEH,ACEH TENGAH,1106,"10,096",Jamban Sendiri
ACEH,ACEH TENGAH,1106,"5,594",Jamban Bersama/Umum
ACEH,ACEH TENGAH,1106,"4,109",Tidak ada
ACEH,ACEH BARAT,1107,"8,719",Jamban Sendiri
ACEH,ACEH BARAT,1107,"1,464",Jamban Bersama/Umum
ACEH,ACEH BARAT,1107,"9,759",Tidak ada
ACEH,ACEH BESAR,1108,"24,440",Jamban Sendiri
ACEH,ACEH BESAR,1108,"6,803",Jamban Bersama/Umum
ACEH,ACEH BESAR,1108,"8,268",Tidak ada
ACEH,PIDIE,1109,"11,232",Jamban Sendiri
ACEH,PIDIE,1109,"14,137",Jamban Bersama/Umum
ACEH,PIDIE,1109,"24,737",Tidak ada
ACEH,BIREUEN,1110,"28,539",Jamban Sendiri
ACEH,BIREUEN,1110,"8,937",Jamban Bersama/Umum
ACEH,BIREUEN,1110,"15,746",Tidak ada
ACEH,ACEH UTARA,1111,"33,661",Jamban Sendiri
ACEH,ACEH UTARA,1111,"14,308",Jamban Bersama/Umum
ACEH,ACEH UTARA,1111,"32,649",Tidak ada
ACEH,ACEH BARAT DAYA,1112,"3,087",Jamban Sendiri
ACEH,ACEH BARAT DAYA,1112,"5,215",Jamban Bersama/Umum
ACEH,ACEH BARAT DAYA,1112,"9,771",Tidak ada
ACEH,GAYO LUES,1113,834,Jamban Sendiri
ACEH,GAYO LUES,1113,"2,083",Jamban Bersama/Umum
ACEH,GAYO LUES,1113,"4,957",Tidak ada
ACEH,ACEH TAMIANG,1114,"22,018",Jamban Sendiri
ACEH,ACEH TAMIANG,1114,"3,401",Jamban Bersama/Umum
ACEH,ACEH TAMIANG,1114,"3,336",Tidak ada
ACEH,NAGAN RAYA,1115,"7,916",Jamban Sendiri
