Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,Usia di bawah 15 tahun,Usia 15 - 44 tahun,Usia 45 - 59 tahun,Usia 60 tahun ke atas
ACEH,SIMEULUE,1101,P,41,128,66,68
ACEH,SIMEULUE,1101,L,63,217,75,77
ACEH,ACEH SINGKIL,1102,P,41,116,46,67
ACEH,ACEH SINGKIL,1102,L,45,155,66,49
ACEH,ACEH SELATAN,1103,P,72,349,212,248
ACEH,ACEH SELATAN,1103,L,97,560,296,212
ACEH,ACEH TENGGARA,1104,P,60,132,54,33
ACEH,ACEH TENGGARA,1104,L,101,265,110,37
ACEH,ACEH TIMUR,1105,P,160,569,235,293
ACEH,ACEH TIMUR,1105,L,221,827,367,265
ACEH,ACEH TENGAH,1106,P,58,192,82,88
ACEH,ACEH TENGAH,1106,L,75,339,105,83
ACEH,ACEH BARAT,1107,P,41,171,118,146
ACEH,ACEH BARAT,1107,L,60,259,147,136
ACEH,ACEH BESAR,1108,P,107,317,185,224
ACEH,ACEH BESAR,1108,L,154,495,226,187
ACEH,PIDIE,1109,P,191,685,233,315
ACEH,PIDIE,1109,L,248,957,311,300
ACEH,BIREUEN,1110,P,199,725,348,380
ACEH,BIREUEN,1110,L,281,"1,143",517,359
ACEH,ACEH UTARA,1111,P,238,834,422,617
ACEH,ACEH UTARA,1111,L,303,"1,237",544,553
ACEH,ACEH BARAT DAYA,1112,P,38,216,125,109
ACEH,ACEH BARAT DAYA,1112,L,71,301,179,124
ACEH,GAYO LUES,1113,P,28,84,45,24
ACEH,GAYO LUES,1113,L,48,144,43,35
ACEH,ACEH TAMIANG,1114,P,85,264,132,176
ACEH,ACEH TAMIANG,1114,L,107,434,205,141
ACEH,NAGAN RAYA,1115,P,63,232,162,202
ACEH,NAGAN RAYA,1115,L,57,290,149,187
ACEH,ACEH JAYA,1116,P,33,84,53,57
ACEH,ACEH JAYA,1116,L,41,171,72,74
ACEH,BENER MERIAH,1117,P,24,93,25,22
ACEH,BENER MERIAH,1117,L,35,123,53,33
ACEH,PIDIE JAYA,1118,P,49,209,95,144
ACEH,PIDIE JAYA,1118,L,71,318,108,112
ACEH,KOTA BANDA ACEH,1171,P,32,107,44,23
ACEH,KOTA BANDA ACEH,1171,L,45,180,79,22
ACEH,KOTA SABANG,1172,P,9,41,13,20
ACEH,KOTA SABANG,1172,L,17,47,14,23
ACEH,KOTA LANGSA,1173,P,39,101,35,13
ACEH,KOTA LANGSA,1173,L,55,173,66,27
ACEH,KOTA LHOKSEUMAWE,1174,P,42,105,47,28
ACEH,KOTA LHOKSEUMAWE,1174,L,55,203,87,43
ACEH,KOTA SUBULUSSALAM,1175,P,32,80,36,27
ACEH,KOTA SUBULUSSALAM,1175,L,47,130,50,44
SUMATERA UTARA,NIAS,1201,P,92,185,119,158
SUMATERA UTARA,NIAS,1201,L,118,323,136,177
SUMATERA UTARA,MANDAILING NATAL,1202,P,96,356,185,235
SUMATERA UTARA,MANDAILING NATAL,1202,L,142,536,239,173
SUMATERA UTARA,TAPANULI SELATAN,1203,P,59,208,106,161
SUMATERA UTARA,TAPANULI SELATAN,1203,L,73,342,133,123
SUMATERA UTARA,TAPANULI TENGAH,1204,P,135,363,195,209
SUMATERA UTARA,TAPANULI TENGAH,1204,L,198,611,258,171
SUMATERA UTARA,TAPANULI UTARA,1205,P,90,330,216,229
SUMATERA UTARA,TAPANULI UTARA,1205,L,150,629,369,181
SUMATERA UTARA,TOBA SAMOSIR,1206,P,66,128,50,42
SUMATERA UTARA,TOBA SAMOSIR,1206,L,80,248,87,33
SUMATERA UTARA,LABUHAN BATU,1207,P,35,163,74,92
SUMATERA UTARA,LABUHAN BATU,1207,L,54,225,94,95
SUMATERA UTARA,ASAHAN,1208,P,124,451,227,204
SUMATERA UTARA,ASAHAN,1208,L,157,635,279,231
SUMATERA UTARA,SIMALUNGUN,1209,P,166,770,340,367
SUMATERA UTARA,SIMALUNGUN,1209,L,227,"1,112",451,432
SUMATERA UTARA,DAIRI,1210,P,64,230,105,85
SUMATERA UTARA,DAIRI,1210,L,105,346,126,69
SUMATERA UTARA,KARO,1211,P,87,274,114,52
SUMATERA UTARA,KARO,1211,L,147,463,170,76
SUMATERA UTARA,DELI SERDANG,1212,P,213,"1,041",560,672
SUMATERA UTARA,DELI SERDANG,1212,L,319,"1,667",811,707
SUMATERA UTARA,LANGKAT,1213,P,237,896,412,505
SUMATERA UTARA,LANGKAT,1213,L,295,"1,296",600,487
SUMATERA UTARA,NIAS SELATAN,1214,P,173,500,267,232
SUMATERA UTARA,NIAS SELATAN,1214,L,208,666,310,295
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,P,75,181,92,143
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,L,89,344,142,107
SUMATERA UTARA,PAKPAK BHARAT,1216,P,20,36,6,5
SUMATERA UTARA,PAKPAK BHARAT,1216,L,16,45,13,8
SUMATERA UTARA,SAMOSIR,1217,P,43,110,35,29
SUMATERA UTARA,SAMOSIR,1217,L,61,186,77,30
SUMATERA UTARA,SERDANG BEDAGAI,1218,P,146,542,256,256
SUMATERA UTARA,SERDANG BEDAGAI,1218,L,202,798,348,275
SUMATERA UTARA,BATU BARA,1219,P,108,455,217,286
SUMATERA UTARA,BATU BARA,1219,L,142,665,316,274
SUMATERA UTARA,PADANG LAWAS UTARA,1220,P,67,125,37,26
SUMATERA UTARA,PADANG LAWAS UTARA,1220,L,98,226,95,28
SUMATERA UTARA,PADANG LAWAS,1221,P,84,223,125,94
SUMATERA UTARA,PADANG LAWAS,1221,L,101,361,134,102
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,P,23,90,31,30
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,L,37,140,56,32
SUMATERA UTARA,LABUHAN BATU UTARA,1223,P,72,207,116,144
SUMATERA UTARA,LABUHAN BATU UTARA,1223,L,95,354,141,131
SUMATERA UTARA,NIAS UTARA,1224,P,117,245,114,217
SUMATERA UTARA,NIAS UTARA,1224,L,156,356,140,193
SUMATERA UTARA,NIAS BARAT,1225,P,66,144,82,86
SUMATERA UTARA,NIAS BARAT,1225,L,73,218,106,81
SUMATERA UTARA,KOTA SIBOLGA,1271,P,22,58,29,20
SUMATERA UTARA,KOTA SIBOLGA,1271,L,25,100,34,11
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,P,52,121,56,61
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,L,66,205,73,44
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,P,35,155,85,77
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,L,51,207,116,62
SUMATERA UTARA,KOTA TEBING TINGGI,1274,P,39,139,82,55
SUMATERA UTARA,KOTA TEBING TINGGI,1274,L,53,207,110,67
SUMATERA UTARA,KOTA MEDAN,1275,P,261,970,459,339
SUMATERA UTARA,KOTA MEDAN,1275,L,363,"1,455",648,321
SUMATERA UTARA,KOTA BINJAI,1276,P,60,216,113,101
SUMATERA UTARA,KOTA BINJAI,1276,L,64,327,158,78
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,P,44,147,72,92
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,L,51,270,91,44
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,P,47,158,89,142
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,L,79,310,123,113
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,P,36,64,14,12
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,L,46,74,35,17
SUMATERA BARAT,PESISIR SELATAN,1302,P,170,555,308,293
SUMATERA BARAT,PESISIR SELATAN,1302,L,260,752,324,230
SUMATERA BARAT,SOLOK,1303,P,146,471,248,234
SUMATERA BARAT,SOLOK,1303,L,198,571,259,200
SUMATERA BARAT,SIJUNJUNG,1304,P,56,191,130,181
SUMATERA BARAT,SIJUNJUNG,1304,L,92,285,128,144
SUMATERA BARAT,TANAH DATAR,1305,P,99,331,184,173
SUMATERA BARAT,TANAH DATAR,1305,L,150,420,190,170
SUMATERA BARAT,PADANG PARIAMAN,1306,P,137,514,238,316
SUMATERA BARAT,PADANG PARIAMAN,1306,L,196,615,237,234
SUMATERA BARAT,AGAM,1307,P,103,393,202,269
SUMATERA BARAT,AGAM,1307,L,198,557,257,257
SUMATERA BARAT,LIMA PULUH KOTA,1308,P,135,509,297,471
SUMATERA BARAT,LIMA PULUH KOTA,1308,L,199,729,358,324
SUMATERA BARAT,PASAMAN,1309,P,114,346,173,163
SUMATERA BARAT,PASAMAN,1309,L,145,453,201,128
SUMATERA BARAT,SOLOK SELATAN,1310,P,60,153,83,91
SUMATERA BARAT,SOLOK SELATAN,1310,L,66,183,94,67
SUMATERA BARAT,DHARMASRAYA,1311,P,34,100,60,68
SUMATERA BARAT,DHARMASRAYA,1311,L,34,144,64,48
SUMATERA BARAT,PASAMAN BARAT,1312,P,132,385,209,296
SUMATERA BARAT,PASAMAN BARAT,1312,L,181,581,236,202
SUMATERA BARAT,KOTA PADANG,1371,P,163,651,292,191
SUMATERA BARAT,KOTA PADANG,1371,L,253,904,344,172
SUMATERA BARAT,KOTA SOLOK,1372,P,16,49,21,16
SUMATERA BARAT,KOTA SOLOK,1372,L,13,60,29,14
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,P,15,56,34,41
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,L,18,90,43,21
SUMATERA BARAT,KOTA PADANG PANJANG,1374,P,16,31,19,19
SUMATERA BARAT,KOTA PADANG PANJANG,1374,L,23,60,27,18
SUMATERA BARAT,KOTA BUKITTINGGI,1375,P,15,65,40,22
SUMATERA BARAT,KOTA BUKITTINGGI,1375,L,36,84,41,28
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,P,42,110,64,69
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,L,42,189,90,52
SUMATERA BARAT,KOTA PARIAMAN,1377,P,29,112,66,81
SUMATERA BARAT,KOTA PARIAMAN,1377,L,41,163,73,44
RIAU,KUANTAN SINGINGI,1401,P,77,270,163,317
RIAU,KUANTAN SINGINGI,1401,L,86,378,231,262
RIAU,INDRAGIRI HULU,1402,P,95,302,168,222
RIAU,INDRAGIRI HULU,1402,L,124,405,183,195
RIAU,INDRAGIRI HILIR,1403,P,106,362,140,132
RIAU,INDRAGIRI HILIR,1403,L,111,503,208,197
RIAU,PELALAWAN,1404,P,76,202,93,104
RIAU,PELALAWAN,1404,L,84,238,125,128
RIAU,S I A K,1405,P,45,191,81,121
RIAU,S I A K,1405,L,84,287,101,98
RIAU,KAMPAR,1406,P,163,569,252,250
RIAU,KAMPAR,1406,L,240,785,359,219
RIAU,ROKAN HULU,1407,P,116,339,169,251
RIAU,ROKAN HULU,1407,L,122,534,253,224
RIAU,BENGKALIS,1408,P,81,304,133,121
RIAU,BENGKALIS,1408,L,100,451,199,170
RIAU,ROKAN HILIR,1409,P,94,324,166,218
RIAU,ROKAN HILIR,1409,L,142,531,202,209
RIAU,KEPULAUAN MERANTI,1410,P,48,195,69,91
RIAU,KEPULAUAN MERANTI,1410,L,63,264,102,106
RIAU,KOTA PEKANBARU,1471,P,106,254,99,79
RIAU,KOTA PEKANBARU,1471,L,164,364,145,103
RIAU,KOTA DUMAI,1473,P,49,167,57,56
RIAU,KOTA DUMAI,1473,L,60,232,76,78
JAMBI,KERINCI,1501,P,86,352,244,409
JAMBI,KERINCI,1501,L,108,485,232,300
JAMBI,MERANGIN,1502,P,74,268,162,132
JAMBI,MERANGIN,1502,L,89,369,181,154
JAMBI,SAROLANGUN,1503,P,65,238,135,146
JAMBI,SAROLANGUN,1503,L,73,324,139,99
JAMBI,BATANG HARI,1504,P,80,275,127,159
JAMBI,BATANG HARI,1504,L,108,389,175,148
JAMBI,MUARO JAMBI,1505,P,65,210,79,89
JAMBI,MUARO JAMBI,1505,L,72,298,112,64
JAMBI,TANJUNG JABUNG TIMUR,1506,P,44,194,74,124
JAMBI,TANJUNG JABUNG TIMUR,1506,L,60,231,127,141
