Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,Jumlah IndividuUsia di bawah 6 tahun,Jumlah IndividuUsia 6 - 14 tahun,Jumlah IndividuUsia 15 - 44 tahun,Jumlah IndividuUsia 45 - 59 tahun,Jumlah IndividuUsia 60 tahun ke atas
ACEH,SIMEULUE,1101,P,"2,317","5,091","10,094","3,114","1,612"
ACEH,SIMEULUE,1101,L,"2,583","5,523","10,736","3,195","1,475"
ACEH,ACEH SINGKIL,1102,P,"3,343","6,663","13,255","3,088","1,455"
ACEH,ACEH SINGKIL,1102,L,"3,369","7,030","13,723","3,052","1,310"
ACEH,ACEH SELATAN,1103,P,"5,438","10,620","27,459","8,610","5,754"
ACEH,ACEH SELATAN,1103,L,"5,729","11,289","28,035","8,413","4,437"
ACEH,ACEH TENGGARA,1104,P,"3,937","9,004","19,136","4,022",800
ACEH,ACEH TENGGARA,1104,L,"4,348","9,951","19,892","4,470",831
ACEH,ACEH TIMUR,1105,P,"10,526","21,998","51,090","12,811","6,508"
ACEH,ACEH TIMUR,1105,L,"11,258","23,332","51,110","12,076","5,264"
ACEH,ACEH TENGAH,1106,P,"3,915","6,903","17,866","4,472","2,469"
ACEH,ACEH TENGAH,1106,L,"4,208","7,354","18,818","4,522","1,990"
ACEH,ACEH BARAT,1107,P,"3,107","6,465","18,254","5,765","3,264"
ACEH,ACEH BARAT,1107,L,"3,414","6,826","19,149","5,943","2,969"
ACEH,ACEH BESAR,1108,P,"8,084","15,225","35,511","9,830","7,915"
ACEH,ACEH BESAR,1108,L,"8,579","16,744","37,107","10,764","5,766"
ACEH,PIDIE,1109,P,"11,344","22,487","52,228","12,851","9,156"
ACEH,PIDIE,1109,L,"11,737","23,456","51,011","12,965","7,633"
ACEH,BIREUEN,1110,P,"9,903","20,759","55,370","16,051","10,143"
ACEH,BIREUEN,1110,L,"10,584","22,149","56,805","14,728","7,123"
ACEH,ACEH UTARA,1111,P,"16,718","33,193","81,875","20,904","13,577"
ACEH,ACEH UTARA,1111,L,"17,684","35,499","79,966","19,702","10,040"
ACEH,ACEH BARAT DAYA,1112,P,"3,469","6,869","19,740","5,458","2,371"
ACEH,ACEH BARAT DAYA,1112,L,"3,828","7,507","20,063","6,135","2,436"
ACEH,GAYO LUES,1113,P,"1,885","3,663","8,554","1,917",556
ACEH,GAYO LUES,1113,L,"2,059","3,903","9,169","2,107",616
ACEH,ACEH TAMIANG,1114,P,"5,741","11,151","25,290","8,071","4,709"
ACEH,ACEH TAMIANG,1114,L,"5,929","11,787","27,006","7,430","3,543"
ACEH,NAGAN RAYA,1115,P,"2,819","6,025","16,750","5,268","3,784"
ACEH,NAGAN RAYA,1115,L,"3,009","6,359","16,875","4,733","2,991"
ACEH,ACEH JAYA,1116,P,"1,385","3,093","7,344","2,150","1,160"
ACEH,ACEH JAYA,1116,L,"1,518","3,136","7,561","2,250","1,199"
ACEH,BENER MERIAH,1117,P,"2,498","4,597","9,894","1,820",759
ACEH,BENER MERIAH,1117,L,"2,659","4,878","9,774","2,238",816
ACEH,PIDIE JAYA,1118,P,"3,761","7,850","19,068","5,307","4,454"
ACEH,PIDIE JAYA,1118,L,"4,164","8,397","19,242","5,084","3,156"
ACEH,KOTA BANDA ACEH,1171,P,"2,303","3,606","8,375","2,273",834
ACEH,KOTA BANDA ACEH,1171,L,"2,373","3,865","8,258","2,643",811
ACEH,KOTA SABANG,1172,P,518,887,"2,000",656,380
ACEH,KOTA SABANG,1172,L,585,"1,065","1,990",670,331
ACEH,KOTA LANGSA,1173,P,"2,607","5,115","11,745","2,897",672
ACEH,KOTA LANGSA,1173,L,"2,881","5,546","12,390","3,322",905
ACEH,KOTA LHOKSEUMAWE,1174,P,"2,552","6,147","14,654","3,835","1,269"
ACEH,KOTA LHOKSEUMAWE,1174,L,"2,823","6,588","15,033","4,083","1,435"
ACEH,KOTA SUBULUSSALAM,1175,P,"2,139","4,605","8,109","1,586",607
ACEH,KOTA SUBULUSSALAM,1175,L,"2,373","4,949","8,297","1,680",627
SUMATERA UTARA,NIAS,1201,P,"6,844","14,057","24,778","5,638","2,967"
SUMATERA UTARA,NIAS,1201,L,"7,570","14,944","23,787","4,652","2,578"
SUMATERA UTARA,MANDAILING NATAL,1202,P,"9,479","19,304","29,136","7,837","4,860"
SUMATERA UTARA,MANDAILING NATAL,1202,L,"10,123","20,310","28,791","7,495","3,410"
SUMATERA UTARA,TAPANULI SELATAN,1203,P,"4,095","10,120","15,679","5,532","3,981"
SUMATERA UTARA,TAPANULI SELATAN,1203,L,"4,367","10,847","16,037","4,507","2,122"
SUMATERA UTARA,TAPANULI TENGAH,1204,P,"7,849","18,223","26,176","8,680","5,449"
SUMATERA UTARA,TAPANULI TENGAH,1204,L,"8,299","19,312","27,559","7,837","3,252"
SUMATERA UTARA,TAPANULI UTARA,1205,P,"7,257","15,259","19,820","8,373","5,973"
SUMATERA UTARA,TAPANULI UTARA,1205,L,"7,721","16,094","21,557","7,799","3,419"
SUMATERA UTARA,TOBA SAMOSIR,1206,P,"3,660","6,565","8,001","2,211",854
SUMATERA UTARA,TOBA SAMOSIR,1206,L,"3,849","6,988","7,988","2,444",679
SUMATERA UTARA,LABUHAN BATU,1207,P,"4,327","11,651","21,721","6,516","3,820"
SUMATERA UTARA,LABUHAN BATU,1207,L,"4,581","12,308","23,521","6,045","2,691"
SUMATERA UTARA,ASAHAN,1208,P,"8,778","18,090","30,232","9,361","5,589"
SUMATERA UTARA,ASAHAN,1208,L,"9,267","18,736","32,787","8,816","4,442"
SUMATERA UTARA,SIMALUNGUN,1209,P,"8,751","19,955","32,323","12,537","9,584"
SUMATERA UTARA,SIMALUNGUN,1209,L,"9,260","21,468","34,851","11,060","6,785"
SUMATERA UTARA,DAIRI,1210,P,"5,769","12,221","15,256","4,594","2,376"
SUMATERA UTARA,DAIRI,1210,L,"6,014","12,886","16,058","4,586","1,672"
SUMATERA UTARA,KARO,1211,P,"6,049","12,880","23,237","5,999","1,879"
SUMATERA UTARA,KARO,1211,L,"6,751","13,779","24,243","6,574","2,024"
SUMATERA UTARA,DELI SERDANG,1212,P,"13,138","37,292","86,313","34,917","24,865"
SUMATERA UTARA,DELI SERDANG,1212,L,"14,195","40,250","93,511","29,159","17,737"
SUMATERA UTARA,LANGKAT,1213,P,"19,788","40,054","84,737","25,862","14,838"
SUMATERA UTARA,LANGKAT,1213,L,"21,198","42,109","90,001","25,446","12,763"
SUMATERA UTARA,NIAS SELATAN,1214,P,"11,802","25,697","51,874","9,762","3,224"
SUMATERA UTARA,NIAS SELATAN,1214,L,"12,776","28,463","50,436","9,898","3,858"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,P,"4,499","8,894","9,939","3,181","3,001"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,L,"4,903","9,363","10,008","3,099","1,697"
SUMATERA UTARA,PAKPAK BHARAT,1216,P,"1,040","2,056","2,507",480,154
SUMATERA UTARA,PAKPAK BHARAT,1216,L,"1,078","2,164","2,567",532,173
SUMATERA UTARA,SAMOSIR,1217,P,"2,912","6,182","6,426","1,849",723
SUMATERA UTARA,SAMOSIR,1217,L,"3,096","6,424","6,287","2,023",587
SUMATERA UTARA,SERDANG BEDAGAI,1218,P,"8,211","17,438","31,544","11,139","6,731"
SUMATERA UTARA,SERDANG BEDAGAI,1218,L,"8,619","18,491","34,226","10,566","4,929"
SUMATERA UTARA,BATU BARA,1219,P,"8,727","18,937","37,918","12,398","7,929"
SUMATERA UTARA,BATU BARA,1219,L,"9,460","20,474","41,354","11,499","5,964"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,P,"4,318","8,336","12,362","2,266",572
SUMATERA UTARA,PADANG LAWAS UTARA,1220,L,"4,626","8,859","12,097","2,423",608
SUMATERA UTARA,PADANG LAWAS,1221,P,"5,548","11,326","18,129","3,977","1,391"
SUMATERA UTARA,PADANG LAWAS,1221,L,"5,915","12,162","18,391","3,933","1,214"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,P,"2,425","5,234","9,688","2,318",773
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,L,"2,606","5,746","10,023","2,389",668
SUMATERA UTARA,LABUHAN BATU UTARA,1223,P,"4,707","10,557","18,022","4,934","3,363"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,L,"5,093","11,229","19,332","4,770","2,290"
SUMATERA UTARA,NIAS UTARA,1224,P,"6,614","13,634","24,993","5,733","3,129"
SUMATERA UTARA,NIAS UTARA,1224,L,"7,423","15,205","24,804","4,904","2,777"
SUMATERA UTARA,NIAS BARAT,1225,P,"4,195","8,374","15,985","4,226","1,990"
SUMATERA UTARA,NIAS BARAT,1225,L,"4,606","8,867","15,183","3,370","1,665"
SUMATERA UTARA,KOTA SIBOLGA,1271,P,"1,338","3,281","5,453","1,583",788
SUMATERA UTARA,KOTA SIBOLGA,1271,L,"1,467","3,501","5,990","1,527",502
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,P,"3,101","7,406","15,040","4,664","2,082"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,L,"3,409","8,225","17,062","4,555","1,705"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,P,"2,880","7,171","15,264","6,494","3,584"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,L,"2,978","7,836","16,618","5,707","2,489"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,P,"1,982","4,576","9,426","3,651","1,971"
