Provinsi,NamaKab/Kota,KodeKab/Kota,Lapangan pekerjaan,Jumlah kepala rumah tangga yang bekerja
ACEH,SIMEULUE,1101,Pertanian tanaman padi & palawija,"4,604"
ACEH,SIMEULUE,1101,Hortikultura,142
ACEH,SIMEULUE,1101,Perkebunan,"1,776"
ACEH,SIMEULUE,1101,Perikanan Tangkap,"1,776"
ACEH,SIMEULUE,1101,Perikanan Budidaya,8
ACEH,SIMEULUE,1101,Peternakan,42
ACEH,SIMEULUE,1101,Kehutanan/ pertanian lainnya,272
ACEH,SIMEULUE,1101,Pertambangan /penggalian,80
ACEH,SIMEULUE,1101,Industri pengolahan,140
ACEH,SIMEULUE,1101,Listrik dan gas,19
ACEH,SIMEULUE,1101,Bangunan /konstruksi,555
ACEH,SIMEULUE,1101,Perdagangan,426
ACEH,SIMEULUE,1101,Hotel dan rumah makan,23
ACEH,SIMEULUE,1101,Transportasi dan pergudangan,84
ACEH,SIMEULUE,1101,Informasi & komunikasi,1
ACEH,SIMEULUE,1101,Keuangan dan asuransi,0
ACEH,SIMEULUE,1101,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",65
ACEH,SIMEULUE,1101,Pemulung,268
ACEH,SIMEULUE,1101,Lainnya,89
ACEH,ACEH SINGKIL,1102,Pertanian tanaman padi & palawija,"1,163"
ACEH,ACEH SINGKIL,1102,Hortikultura,238
ACEH,ACEH SINGKIL,1102,Perkebunan,"3,821"
ACEH,ACEH SINGKIL,1102,Perikanan Tangkap,"1,785"
ACEH,ACEH SINGKIL,1102,Perikanan Budidaya,7
ACEH,ACEH SINGKIL,1102,Peternakan,20
ACEH,ACEH SINGKIL,1102,Kehutanan/ pertanian lainnya,61
ACEH,ACEH SINGKIL,1102,Pertambangan /penggalian,11
ACEH,ACEH SINGKIL,1102,Industri pengolahan,157
ACEH,ACEH SINGKIL,1102,Listrik dan gas,15
ACEH,ACEH SINGKIL,1102,Bangunan /konstruksi,677
ACEH,ACEH SINGKIL,1102,Perdagangan,710
ACEH,ACEH SINGKIL,1102,Hotel dan rumah makan,69
ACEH,ACEH SINGKIL,1102,Transportasi dan pergudangan,322
ACEH,ACEH SINGKIL,1102,Informasi & komunikasi,8
ACEH,ACEH SINGKIL,1102,Keuangan dan asuransi,1
ACEH,ACEH SINGKIL,1102,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",36
ACEH,ACEH SINGKIL,1102,Pemulung,843
ACEH,ACEH SINGKIL,1102,Lainnya,604
ACEH,ACEH SELATAN,1103,Pertanian tanaman padi & palawija,"8,789"
ACEH,ACEH SELATAN,1103,Hortikultura,700
ACEH,ACEH SELATAN,1103,Perkebunan,"3,487"
ACEH,ACEH SELATAN,1103,Perikanan Tangkap,"1,912"
ACEH,ACEH SELATAN,1103,Perikanan Budidaya,14
ACEH,ACEH SELATAN,1103,Peternakan,48
ACEH,ACEH SELATAN,1103,Kehutanan/ pertanian lainnya,174
ACEH,ACEH SELATAN,1103,Pertambangan /penggalian,407
ACEH,ACEH SELATAN,1103,Industri pengolahan,304
ACEH,ACEH SELATAN,1103,Listrik dan gas,24
ACEH,ACEH SELATAN,1103,Bangunan /konstruksi,"2,075"
ACEH,ACEH SELATAN,1103,Perdagangan,"1,531"
ACEH,ACEH SELATAN,1103,Hotel dan rumah makan,69
ACEH,ACEH SELATAN,1103,Transportasi dan pergudangan,557
ACEH,ACEH SELATAN,1103,Informasi & komunikasi,8
ACEH,ACEH SELATAN,1103,Keuangan dan asuransi,1
ACEH,ACEH SELATAN,1103,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",59
ACEH,ACEH SELATAN,1103,Pemulung,408
ACEH,ACEH SELATAN,1103,Lainnya,939
ACEH,ACEH TENGGARA,1104,Pertanian tanaman padi & palawija,"7,558"
ACEH,ACEH TENGGARA,1104,Hortikultura,99
ACEH,ACEH TENGGARA,1104,Perkebunan,"3,921"
ACEH,ACEH TENGGARA,1104,Perikanan Tangkap,26
ACEH,ACEH TENGGARA,1104,Perikanan Budidaya,103
ACEH,ACEH TENGGARA,1104,Peternakan,44
ACEH,ACEH TENGGARA,1104,Kehutanan/ pertanian lainnya,66
ACEH,ACEH TENGGARA,1104,Pertambangan /penggalian,14
ACEH,ACEH TENGGARA,1104,Industri pengolahan,106
ACEH,ACEH TENGGARA,1104,Listrik dan gas,15
ACEH,ACEH TENGGARA,1104,Bangunan /konstruksi,640
ACEH,ACEH TENGGARA,1104,Perdagangan,520
ACEH,ACEH TENGGARA,1104,Hotel dan rumah makan,40
ACEH,ACEH TENGGARA,1104,Transportasi dan pergudangan,570
ACEH,ACEH TENGGARA,1104,Informasi & komunikasi,5
ACEH,ACEH TENGGARA,1104,Keuangan dan asuransi,2
