Provinsi,NamaKab/Kota,KodeKab/Kota,Lapangan pekerjaan,Jumlah individu yang bekerja
ACEH,SIMEULUE,1101,Pertanian tanaman padi & palawija,"8,743"
ACEH,SIMEULUE,1101,Hortikultura,212
ACEH,SIMEULUE,1101,Perkebunan,"2,889"
ACEH,SIMEULUE,1101,Perikanan Tangkap,"2,169"
ACEH,SIMEULUE,1101,Perikanan Budidaya,23
ACEH,SIMEULUE,1101,Peternakan,63
ACEH,SIMEULUE,1101,Kehutanan/ pertanian lainnya,428
ACEH,SIMEULUE,1101,Pertambangan /penggalian,125
ACEH,SIMEULUE,1101,Industri pengolahan,212
ACEH,SIMEULUE,1101,Listrik dan gas,23
ACEH,SIMEULUE,1101,Bangunan /konstruksi,762
ACEH,SIMEULUE,1101,Perdagangan,821
ACEH,SIMEULUE,1101,Hotel dan rumah makan,58
ACEH,SIMEULUE,1101,Transportasi dan pergudangan,103
ACEH,SIMEULUE,1101,Informasi & komunikasi,1
ACEH,SIMEULUE,1101,Keuangan dan asuransi,2
ACEH,SIMEULUE,1101,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",155
ACEH,SIMEULUE,1101,Pemulung,430
ACEH,SIMEULUE,1101,Lainnya,169
ACEH,ACEH SINGKIL,1102,Pertanian tanaman padi & palawija,"2,033"
ACEH,ACEH SINGKIL,1102,Hortikultura,376
ACEH,ACEH SINGKIL,1102,Perkebunan,"5,417"
ACEH,ACEH SINGKIL,1102,Perikanan Tangkap,"2,164"
ACEH,ACEH SINGKIL,1102,Perikanan Budidaya,11
ACEH,ACEH SINGKIL,1102,Peternakan,32
ACEH,ACEH SINGKIL,1102,Kehutanan/ pertanian lainnya,70
ACEH,ACEH SINGKIL,1102,Pertambangan /penggalian,18
ACEH,ACEH SINGKIL,1102,Industri pengolahan,258
ACEH,ACEH SINGKIL,1102,Listrik dan gas,23
ACEH,ACEH SINGKIL,1102,Bangunan /konstruksi,942
ACEH,ACEH SINGKIL,1102,Perdagangan,"1,248"
ACEH,ACEH SINGKIL,1102,Hotel dan rumah makan,138
ACEH,ACEH SINGKIL,1102,Transportasi dan pergudangan,398
ACEH,ACEH SINGKIL,1102,Informasi & komunikasi,12
ACEH,ACEH SINGKIL,1102,Keuangan dan asuransi,8
ACEH,ACEH SINGKIL,1102,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",184
ACEH,ACEH SINGKIL,1102,Pemulung,"1,410"
ACEH,ACEH SINGKIL,1102,Lainnya,"1,482"
ACEH,ACEH SELATAN,1103,Pertanian tanaman padi & palawija,"15,210"
ACEH,ACEH SELATAN,1103,Hortikultura,"1,174"
ACEH,ACEH SELATAN,1103,Perkebunan,"5,377"
ACEH,ACEH SELATAN,1103,Perikanan Tangkap,"2,596"
ACEH,ACEH SELATAN,1103,Perikanan Budidaya,20
ACEH,ACEH SELATAN,1103,Peternakan,77
ACEH,ACEH SELATAN,1103,Kehutanan/ pertanian lainnya,227
ACEH,ACEH SELATAN,1103,Pertambangan /penggalian,745
ACEH,ACEH SELATAN,1103,Industri pengolahan,518
ACEH,ACEH SELATAN,1103,Listrik dan gas,41
ACEH,ACEH SELATAN,1103,Bangunan /konstruksi,"3,592"
ACEH,ACEH SELATAN,1103,Perdagangan,"2,727"
ACEH,ACEH SELATAN,1103,Hotel dan rumah makan,187
ACEH,ACEH SELATAN,1103,Transportasi dan pergudangan,725
ACEH,ACEH SELATAN,1103,Informasi & komunikasi,13
ACEH,ACEH SELATAN,1103,Keuangan dan asuransi,8
ACEH,ACEH SELATAN,1103,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",192
ACEH,ACEH SELATAN,1103,Pemulung,794
ACEH,ACEH SELATAN,1103,Lainnya,"1,617"
ACEH,ACEH TENGGARA,1104,Pertanian tanaman padi & palawija,"17,731"
ACEH,ACEH TENGGARA,1104,Hortikultura,204
ACEH,ACEH TENGGARA,1104,Perkebunan,"8,035"
ACEH,ACEH TENGGARA,1104,Perikanan Tangkap,34
ACEH,ACEH TENGGARA,1104,Perikanan Budidaya,171
ACEH,ACEH TENGGARA,1104,Peternakan,81
ACEH,ACEH TENGGARA,1104,Kehutanan/ pertanian lainnya,86
ACEH,ACEH TENGGARA,1104,Pertambangan /penggalian,26
ACEH,ACEH TENGGARA,1104,Industri pengolahan,195
ACEH,ACEH TENGGARA,1104,Listrik dan gas,21
ACEH,ACEH TENGGARA,1104,Bangunan /konstruksi,780
