Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,SD/SDLB/Paket A,M. Ibtidaiyah,SMP/SMPLB/Paket B,M. Tsanawiyah,SMA/SMK/SMALB/Paket C,M. Aliyah,Perguruan Tinggi
ACEH,SIMEULUE,1101,P,"3,575",83,"1,576",57,971,11,74
ACEH,SIMEULUE,1101,L,"3,838",102,"1,658",53,"1,066",20,84
ACEH,ACEH SINGKIL,1102,P,"4,575",26,"1,989",105,"1,365",57,332
ACEH,ACEH SINGKIL,1102,L,"4,869",41,"1,886",79,"1,297",46,199
ACEH,ACEH SELATAN,1103,P,"6,633",463,"3,539",382,"2,350",141,329
ACEH,ACEH SELATAN,1103,L,"7,094",470,"3,830",364,"2,189",88,234
ACEH,ACEH TENGGARA,1104,P,"6,011",166,"3,154",81,"2,273",31,336
ACEH,ACEH TENGGARA,1104,L,"6,610",176,"3,437",79,"2,204",32,251
ACEH,ACEH TIMUR,1105,P,"14,312","1,146","6,096",855,"3,307",273,700
ACEH,ACEH TIMUR,1105,L,"15,367","1,150","6,238",799,"2,987",184,335
ACEH,ACEH TENGAH,1106,P,"4,361",338,"1,969",217,"1,423",100,606
ACEH,ACEH TENGAH,1106,L,"4,732",367,"2,085",189,"1,460",69,426
ACEH,ACEH BARAT,1107,P,"4,154",231,"1,900",191,"1,630",62,643
ACEH,ACEH BARAT,1107,L,"4,448",215,"2,087",162,"1,577",43,513
ACEH,ACEH BESAR,1108,P,"9,482","1,229","3,920",589,"2,723",252,"1,168"
ACEH,ACEH BESAR,1108,L,"10,761","1,232","4,322",579,"2,831",179,724
ACEH,PIDIE,1109,P,"14,014","1,180","6,720",905,"4,421",359,"1,306"
ACEH,PIDIE,1109,L,"14,963","1,274","7,214",752,"4,163",224,640
ACEH,BIREUEN,1110,P,"12,342","1,722","6,413",747,"4,428",302,"1,627"
ACEH,BIREUEN,1110,L,"13,396","1,799","6,970",619,"3,989",216,797
ACEH,ACEH UTARA,1111,P,"21,893",822,"10,843",568,"6,048",247,"2,020"
ACEH,ACEH UTARA,1111,L,"23,988",825,"11,207",547,"5,352",195,"1,017"
ACEH,ACEH BARAT DAYA,1112,P,"4,236",160,"2,414",181,"1,877",39,545
ACEH,ACEH BARAT DAYA,1112,L,"4,779",183,"2,564",137,"1,735",32,321
ACEH,GAYO LUES,1113,P,"2,401",79,"1,250",33,897,11,79
ACEH,GAYO LUES,1113,L,"2,605",88,"1,283",35,851,12,96
ACEH,ACEH TAMIANG,1114,P,"7,392",339,"3,361",257,"2,183",145,496
ACEH,ACEH TAMIANG,1114,L,"7,899",370,"3,517",288,"1,932",133,216
ACEH,NAGAN RAYA,1115,P,"3,787",163,"2,037",94,"1,453",38,452
ACEH,NAGAN RAYA,1115,L,"4,135",154,"2,119",72,"1,326",25,309
ACEH,ACEH JAYA,1116,P,"2,016",172,921,92,687,35,74
ACEH,ACEH JAYA,1116,L,"2,088",158,902,89,615,17,41
ACEH,BENER MERIAH,1117,P,"3,052",111,"1,406",86,789,20,139
ACEH,BENER MERIAH,1117,L,"3,296",141,"1,406",81,693,23,101
ACEH,PIDIE JAYA,1118,P,"4,836",485,"2,419",299,"1,677",142,606
ACEH,PIDIE JAYA,1118,L,"5,147",548,"2,693",283,"1,542",128,324
ACEH,KOTA BANDA ACEH,1171,P,"2,204",252,922,106,825,22,483
ACEH,KOTA BANDA ACEH,1171,L,"2,472",222,983,87,807,13,328
ACEH,KOTA SABANG,1172,P,571,42,218,32,201,28,28
ACEH,KOTA SABANG,1172,L,690,47,271,38,185,16,11
ACEH,KOTA LANGSA,1173,P,"3,089",279,"1,525",211,"1,272",96,584
ACEH,KOTA LANGSA,1173,L,"3,447",270,"1,640",177,"1,222",61,326
ACEH,KOTA LHOKSEUMAWE,1174,P,"3,873",162,"2,082",136,"1,706",45,821
ACEH,KOTA LHOKSEUMAWE,1174,L,"4,168",173,"2,314",120,"1,632",46,543
ACEH,KOTA SUBULUSSALAM,1175,P,"3,122",5,"1,551",32,"1,113",14,125
ACEH,KOTA SUBULUSSALAM,1175,L,"3,445",13,"1,559",33,"1,045",14,103
SUMATERA UTARA,NIAS,1201,P,"9,649",10,"3,293",4,"1,704",1,157
SUMATERA UTARA,NIAS,1201,L,"10,332",15,"3,934",7,"2,203",3,305
SUMATERA UTARA,MANDAILING NATAL,1202,P,"13,727",33,"4,041","1,246","1,853",515,123
SUMATERA UTARA,MANDAILING NATAL,1202,L,"14,460",43,"4,219","1,021","1,621",290,87
SUMATERA UTARA,TAPANULI SELATAN,1203,P,"7,340",19,"2,464",297,"1,120",69,62
SUMATERA UTARA,TAPANULI SELATAN,1203,L,"7,870",27,"2,491",326,971,64,31
SUMATERA UTARA,TAPANULI TENGAH,1204,P,"12,263",397,"4,831",461,"3,264",262,197
SUMATERA UTARA,TAPANULI TENGAH,1204,L,"13,220",398,"5,002",403,"2,801",157,91
SUMATERA UTARA,TAPANULI UTARA,1205,P,"10,754",29,"4,922",29,"3,441",13,110
SUMATERA UTARA,TAPANULI UTARA,1205,L,"11,648",31,"4,974",23,"3,143",5,87
SUMATERA UTARA,TOBA SAMOSIR,1206,P,"4,718",4,"1,958",0,"1,059",0,16
SUMATERA UTARA,TOBA SAMOSIR,1206,L,"5,076",0,"1,996",1,"1,021",0,12
SUMATERA UTARA,LABUHAN BATU,1207,P,"8,026",118,"3,101",383,"1,529",79,91
SUMATERA UTARA,LABUHAN BATU,1207,L,"8,486",122,"3,265",322,"1,525",54,59
SUMATERA UTARA,ASAHAN,1208,P,"12,309",282,"4,523",659,"2,054",225,22
SUMATERA UTARA,ASAHAN,1208,L,"13,016",264,"4,462",585,"1,629",158,16
SUMATERA UTARA,SIMALUNGUN,1209,P,"13,854",70,"5,975",251,"3,200",70,89
SUMATERA UTARA,SIMALUNGUN,1209,L,"15,152",87,"6,248",213,"2,925",55,52
SUMATERA UTARA,DAIRI,1210,P,"8,874",50,"3,620",33,"1,809",15,32
SUMATERA UTARA,DAIRI,1210,L,"9,505",43,"3,600",35,"1,533",16,14
SUMATERA UTARA,KARO,1211,P,"8,993",16,"3,816",6,"2,474",3,164
SUMATERA UTARA,KARO,1211,L,"9,823",11,"3,800",7,"2,316",0,106
SUMATERA UTARA,DELI SERDANG,1212,P,"25,429",219,"12,348",260,"6,600",99,384
SUMATERA UTARA,DELI SERDANG,1212,L,"27,752",202,"12,694",256,"6,353",56,190
SUMATERA UTARA,LANGKAT,1213,P,"26,577",807,"10,911","1,301","5,230",304,328
SUMATERA UTARA,LANGKAT,1213,L,"28,454",880,"11,182","1,118","4,388",183,184
SUMATERA UTARA,NIAS SELATAN,1214,P,"16,906",37,"6,610",24,"3,967",6,531
SUMATERA UTARA,NIAS SELATAN,1214,L,"18,757",53,"7,461",16,"4,192",3,628
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,P,"6,376",23,"2,742",3,"1,493",1,12
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,L,"6,731",26,"2,873",4,"1,404",1,7
SUMATERA UTARA,PAKPAK BHARAT,1216,P,"1,416",47,625,20,270,0,6
SUMATERA UTARA,PAKPAK BHARAT,1216,L,"1,554",26,593,13,226,0,4
SUMATERA UTARA,SAMOSIR,1217,P,"4,408",6,"1,908",1,924,0,14
SUMATERA UTARA,SAMOSIR,1217,L,"4,666",6,"1,975",0,876,0,7
SUMATERA UTARA,SERDANG BEDAGAI,1218,P,"11,824",113,"4,957",326,"2,748",95,63
SUMATERA UTARA,SERDANG BEDAGAI,1218,L,"12,719",136,"5,056",311,"2,336",77,41
SUMATERA UTARA,BATU BARA,1219,P,"13,126",261,"4,849",907,"2,726",463,0
SUMATERA UTARA,BATU BARA,1219,L,"14,460",297,"4,707",887,"2,320",360,2
SUMATERA UTARA,PADANG LAWAS UTARA,1220,P,"5,979",95,"1,239",799,743,354,35
SUMATERA UTARA,PADANG LAWAS UTARA,1220,L,"6,310",105,"1,361",775,637,252,15
SUMATERA UTARA,PADANG LAWAS,1221,P,"7,929",72,"1,905","1,354","1,278",620,131
SUMATERA UTARA,PADANG LAWAS,1221,L,"8,637",64,"2,048","1,196","1,306",412,75
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,P,"3,564",18,"1,228",301,673,106,36
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,L,"3,974",8,"1,237",283,607,85,15
SUMATERA UTARA,LABUHAN BATU UTARA,1223,P,"7,287",138,"2,510",483,"1,244",150,63
SUMATERA UTARA,LABUHAN BATU UTARA,1223,L,"7,731",150,"2,638",441,"1,162",110,39
SUMATERA UTARA,NIAS UTARA,1224,P,"9,453",41,"3,965",38,"2,280",12,256
SUMATERA UTARA,NIAS UTARA,1224,L,"10,777",42,"4,558",35,"2,746",8,499
SUMATERA UTARA,NIAS BARAT,1225,P,"5,819",15,"2,478",8,"1,777",1,433
SUMATERA UTARA,NIAS BARAT,1225,L,"6,141",11,"2,743",8,"1,925",2,528
SUMATERA UTARA,KOTA SIBOLGA,1271,P,"2,277",7,"1,013",27,724,7,56
SUMATERA UTARA,KOTA SIBOLGA,1271,L,"2,448",14,"1,038",24,657,5,18
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,P,"4,733",120,"2,150",198,"1,721",97,153
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,L,"5,330",104,"2,277",170,"1,505",55,101
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,P,"4,829",13,"2,422",4,"2,046",0,415
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,L,"5,281",18,"2,731",11,"2,024",1,243
SUMATERA UTARA,KOTA TEBING TINGGI,1274,P,"3,048",5,"1,323",13,816,10,55
SUMATERA UTARA,KOTA TEBING TINGGI,1274,L,"3,312",6,"1,384",14,666,7,37
SUMATERA UTARA,KOTA MEDAN,1275,P,"31,672",69,"16,136",82,"10,651",26,965
SUMATERA UTARA,KOTA MEDAN,1275,L,"34,841",69,"17,238",80,"10,638",17,614
SUMATERA UTARA,KOTA BINJAI,1276,P,"3,892",18,"1,892",12,"1,361",6,154
SUMATERA UTARA,KOTA BINJAI,1276,L,"4,312",12,"2,055",19,"1,239",4,91
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,P,"3,708",8,"1,755",49,"1,460",16,254
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,L,"3,907",13,"1,788",47,"1,307",9,145
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,P,"5,965",79,"2,380",37,"1,252",30,163
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,L,"6,552",81,"2,535",29,"1,450",25,222
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,P,"3,896",6,919,11,390,1,29
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,L,"4,345",9,930,9,402,0,48
SUMATERA BARAT,PESISIR SELATAN,1302,P,"12,926",111,"5,689",782,"4,479",180,438
SUMATERA BARAT,PESISIR SELATAN,1302,L,"14,533",133,"5,986",769,"4,113",110,239
