Provinsi,NamaKab/Kota,KodeKab/Kota,Jumlah Rumah Tangga ,Status jamban
ACEH,SIMEULUE,1101,"3,179",Tangki/SPAL
ACEH,SIMEULUE,1101,886,Lubang Tanah
ACEH,SIMEULUE,1101,"7,701",Lainnya
ACEH,ACEH SINGKIL,1102,"3,491",Tangki/SPAL
ACEH,ACEH SINGKIL,1102,"3,693",Lubang Tanah
ACEH,ACEH SINGKIL,1102,"5,283",Lainnya
ACEH,ACEH SELATAN,1103,"8,632",Tangki/SPAL
ACEH,ACEH SELATAN,1103,"2,183",Lubang Tanah
ACEH,ACEH SELATAN,1103,"18,580",Lainnya
ACEH,ACEH TENGGARA,1104,"1,879",Tangki/SPAL
ACEH,ACEH TENGGARA,1104,854,Lubang Tanah
ACEH,ACEH TENGGARA,1104,"12,853",Lainnya
ACEH,ACEH TIMUR,1105,"11,559",Tangki/SPAL
ACEH,ACEH TIMUR,1105,"17,828",Lubang Tanah
ACEH,ACEH TIMUR,1105,"18,202",Lainnya
ACEH,ACEH TENGAH,1106,"7,012",Tangki/SPAL
ACEH,ACEH TENGAH,1106,"5,936",Lubang Tanah
ACEH,ACEH TENGAH,1106,"6,851",Lainnya
ACEH,ACEH BARAT,1107,"8,072",Tangki/SPAL
ACEH,ACEH BARAT,1107,"3,377",Lubang Tanah
ACEH,ACEH BARAT,1107,"8,493",Lainnya
ACEH,ACEH BESAR,1108,"28,702",Tangki/SPAL
ACEH,ACEH BESAR,1108,"2,441",Lubang Tanah
ACEH,ACEH BESAR,1108,"8,367",Lainnya
ACEH,PIDIE,1109,"21,180",Tangki/SPAL
ACEH,PIDIE,1109,"2,903",Lubang Tanah
ACEH,PIDIE,1109,"26,022",Lainnya
ACEH,BIREUEN,1110,"22,846",Tangki/SPAL
ACEH,BIREUEN,1110,"17,137",Lubang Tanah
ACEH,BIREUEN,1110,"13,238",Lainnya
ACEH,ACEH UTARA,1111,"24,411",Tangki/SPAL
ACEH,ACEH UTARA,1111,"28,745",Lubang Tanah
ACEH,ACEH UTARA,1111,"27,456",Lainnya
ACEH,ACEH BARAT DAYA,1112,"2,408",Tangki/SPAL
ACEH,ACEH BARAT DAYA,1112,"1,251",Lubang Tanah
ACEH,ACEH BARAT DAYA,1112,"14,414",Lainnya
ACEH,GAYO LUES,1113,494,Tangki/SPAL
ACEH,GAYO LUES,1113,506,Lubang Tanah
ACEH,GAYO LUES,1113,"6,874",Lainnya
ACEH,ACEH TAMIANG,1114,"10,553",Tangki/SPAL
ACEH,ACEH TAMIANG,1114,"14,221",Lubang Tanah
ACEH,ACEH TAMIANG,1114,"3,981",Lainnya
ACEH,NAGAN RAYA,1115,"3,857",Tangki/SPAL
ACEH,NAGAN RAYA,1115,"5,843",Lubang Tanah
ACEH,NAGAN RAYA,1115,"10,036",Lainnya
ACEH,ACEH JAYA,1116,"4,624",Tangki/SPAL
ACEH,ACEH JAYA,1116,468,Lubang Tanah
ACEH,ACEH JAYA,1116,"2,860",Lainnya
ACEH,BENER MERIAH,1117,"3,473",Tangki/SPAL
ACEH,BENER MERIAH,1117,"3,947",Lubang Tanah
ACEH,BENER MERIAH,1117,"2,058",Lainnya
ACEH,PIDIE JAYA,1118,"10,587",Tangki/SPAL
ACEH,PIDIE JAYA,1118,414,Lubang Tanah
ACEH,PIDIE JAYA,1118,"7,982",Lainnya
ACEH,KOTA BANDA ACEH,1171,"8,350",Tangki/SPAL
ACEH,KOTA BANDA ACEH,1171,14,Lubang Tanah
ACEH,KOTA BANDA ACEH,1171,56,Lainnya
ACEH,KOTA SABANG,1172,"1,789",Tangki/SPAL
ACEH,KOTA SABANG,1172,73,Lubang Tanah
ACEH,KOTA SABANG,1172,391,Lainnya
ACEH,KOTA LANGSA,1173,"7,433",Tangki/SPAL
ACEH,KOTA LANGSA,1173,688,Lubang Tanah
ACEH,KOTA LANGSA,1173,"1,569",Lainnya
ACEH,KOTA LHOKSEUMAWE,1174,"8,950",Tangki/SPAL
ACEH,KOTA LHOKSEUMAWE,1174,"1,036",Lubang Tanah
ACEH,KOTA LHOKSEUMAWE,1174,"2,197",Lainnya
ACEH,KOTA SUBULUSSALAM,1175,608,Tangki/SPAL
ACEH,KOTA SUBULUSSALAM,1175,"3,854",Lubang Tanah
ACEH,KOTA SUBULUSSALAM,1175,"2,848",Lainnya
SUMATERA UTARA,NIAS,1201,675,Tangki/SPAL
SUMATERA UTARA,NIAS,1201,"9,394",Lubang Tanah
SUMATERA UTARA,NIAS,1201,"10,933",Lainnya
SUMATERA UTARA,MANDAILING NATAL,1202,"1,012",Tangki/SPAL
SUMATERA UTARA,MANDAILING NATAL,1202,"3,155",Lubang Tanah
SUMATERA UTARA,MANDAILING NATAL,1202,"27,395",Lainnya
SUMATERA UTARA,TAPANULI SELATAN,1203,"1,668",Tangki/SPAL
SUMATERA UTARA,TAPANULI SELATAN,1203,"1,014",Lubang Tanah
SUMATERA UTARA,TAPANULI SELATAN,1203,"17,392",Lainnya
SUMATERA UTARA,TAPANULI TENGAH,1204,"3,464",Tangki/SPAL
SUMATERA UTARA,TAPANULI TENGAH,1204,"1,791",Lubang Tanah
SUMATERA UTARA,TAPANULI TENGAH,1204,"24,432",Lainnya
SUMATERA UTARA,TAPANULI UTARA,1205,"9,396",Tangki/SPAL
SUMATERA UTARA,TAPANULI UTARA,1205,"3,540",Lubang Tanah
SUMATERA UTARA,TAPANULI UTARA,1205,"13,102",Lainnya
SUMATERA UTARA,TOBA SAMOSIR,1206,"2,885",Tangki/SPAL
SUMATERA UTARA,TOBA SAMOSIR,1206,864,Lubang Tanah
SUMATERA UTARA,TOBA SAMOSIR,1206,"4,677",Lainnya
SUMATERA UTARA,LABUHAN BATU,1207,"5,612",Tangki/SPAL
SUMATERA UTARA,LABUHAN BATU,1207,"13,147",Lubang Tanah
SUMATERA UTARA,LABUHAN BATU,1207,"4,485",Lainnya
SUMATERA UTARA,ASAHAN,1208,"13,471",Tangki/SPAL
SUMATERA UTARA,ASAHAN,1208,"14,566",Lubang Tanah
