Provinsi,NamaKab/Kota,KodeKab/Kota,Usia,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
ACEH,SIMEULUE,1101,Usia 7-12tahun,"7,926",557
ACEH,SIMEULUE,1101,Usia 13-15tahun,"3,010",211
ACEH,SIMEULUE,1101,Usia 16-18tahun,"1,867",766
ACEH,ACEH SINGKIL,1102,Usia 7-12tahun,"9,505","1,232"
ACEH,ACEH SINGKIL,1102,Usia 13-15tahun,"4,113",474
ACEH,ACEH SINGKIL,1102,Usia 16-18tahun,"2,626","1,474"
ACEH,ACEH SELATAN,1103,Usia 7-12tahun,"15,193","1,238"
ACEH,ACEH SELATAN,1103,Usia 13-15tahun,"7,844",713
ACEH,ACEH SELATAN,1103,Usia 16-18tahun,"4,279","2,969"
ACEH,ACEH TENGGARA,1104,Usia 7-12tahun,"13,466","1,092"
ACEH,ACEH TENGGARA,1104,Usia 13-15tahun,"6,525",448
ACEH,ACEH TENGGARA,1104,Usia 16-18tahun,"4,118","2,013"
ACEH,ACEH TIMUR,1105,Usia 7-12tahun,"32,882","2,340"
ACEH,ACEH TIMUR,1105,Usia 13-15tahun,"13,236","2,603"
ACEH,ACEH TIMUR,1105,Usia 16-18tahun,"6,250","7,677"
ACEH,ACEH TENGAH,1106,Usia 7-12tahun,"10,192",912
ACEH,ACEH TENGAH,1106,Usia 13-15tahun,"4,514",390
ACEH,ACEH TENGAH,1106,Usia 16-18tahun,"2,599","1,710"
ACEH,ACEH BARAT,1107,Usia 7-12tahun,"9,446",942
ACEH,ACEH BARAT,1107,Usia 13-15tahun,"4,282",408
ACEH,ACEH BARAT,1107,Usia 16-18tahun,"2,822","1,517"
ACEH,ACEH BESAR,1108,Usia 7-12tahun,"23,573","1,878"
ACEH,ACEH BESAR,1108,Usia 13-15tahun,"9,085",750
ACEH,ACEH BESAR,1108,Usia 16-18tahun,"5,170","2,952"
ACEH,PIDIE,1109,Usia 7-12tahun,"33,822","1,886"
ACEH,PIDIE,1109,Usia 13-15tahun,"14,349","1,302"
ACEH,PIDIE,1109,Usia 16-18tahun,"7,214","5,994"
ACEH,BIREUEN,1110,Usia 7-12tahun,"30,425","2,358"
ACEH,BIREUEN,1110,Usia 13-15tahun,"14,289","1,554"
ACEH,BIREUEN,1110,Usia 16-18tahun,"7,834","6,023"
ACEH,ACEH UTARA,1111,Usia 7-12tahun,"48,328","4,280"
ACEH,ACEH UTARA,1111,Usia 13-15tahun,"22,416","2,754"
ACEH,ACEH UTARA,1111,Usia 16-18tahun,"11,272","9,327"
ACEH,ACEH BARAT DAYA,1112,Usia 7-12tahun,"10,195",660
ACEH,ACEH BARAT DAYA,1112,Usia 13-15tahun,"5,147",519
ACEH,ACEH BARAT DAYA,1112,Usia 16-18tahun,"2,809","2,266"
ACEH,GAYO LUES,1113,Usia 7-12tahun,"5,204",591
ACEH,GAYO LUES,1113,Usia 13-15tahun,"2,540",327
ACEH,GAYO LUES,1113,Usia 16-18tahun,"1,725",971
ACEH,ACEH TAMIANG,1114,Usia 7-12tahun,"17,126",754
ACEH,ACEH TAMIANG,1114,Usia 13-15tahun,"7,057",930
ACEH,ACEH TAMIANG,1114,Usia 16-18tahun,"3,353","3,379"
ACEH,NAGAN RAYA,1115,Usia 7-12tahun,"8,371","1,041"
ACEH,NAGAN RAYA,1115,Usia 13-15tahun,"4,289",464
ACEH,NAGAN RAYA,1115,Usia 16-18tahun,"2,633","1,530"
ACEH,ACEH JAYA,1116,Usia 7-12tahun,"4,663",300
ACEH,ACEH JAYA,1116,Usia 13-15tahun,"1,837",155
ACEH,ACEH JAYA,1116,Usia 16-18tahun,"1,188",715
ACEH,BENER MERIAH,1117,Usia 7-12tahun,"6,791",709
ACEH,BENER MERIAH,1117,Usia 13-15tahun,"2,870",214
ACEH,BENER MERIAH,1117,Usia 16-18tahun,"1,457",898
ACEH,PIDIE JAYA,1118,Usia 7-12tahun,"11,855",608
ACEH,PIDIE JAYA,1118,Usia 13-15tahun,"5,470",354
ACEH,PIDIE JAYA,1118,Usia 16-18tahun,"2,805","2,063"
ACEH,KOTA BANDA ACEH,1171,Usia 7-12tahun,"5,798",298
ACEH,KOTA BANDA ACEH,1171,Usia 13-15tahun,"1,945",88
ACEH,KOTA BANDA ACEH,1171,Usia 16-18tahun,"1,160",557
ACEH,KOTA SABANG,1172,Usia 7-12tahun,"1,437",107
ACEH,KOTA SABANG,1172,Usia 13-15tahun,560,38
ACEH,KOTA SABANG,1172,Usia 16-18tahun,308,160
ACEH,KOTA LANGSA,1173,Usia 7-12tahun,"7,909",286
ACEH,KOTA LANGSA,1173,Usia 13-15tahun,"3,507",340
ACEH,KOTA LANGSA,1173,Usia 16-18tahun,"1,770","1,529"
ACEH,KOTA LHOKSEUMAWE,1174,Usia 7-12tahun,"9,057",562
ACEH,KOTA LHOKSEUMAWE,1174,Usia 13-15tahun,"4,536",289
ACEH,KOTA LHOKSEUMAWE,1174,Usia 16-18tahun,"2,817","1,278"
ACEH,KOTA SUBULUSSALAM,1175,Usia 7-12tahun,"6,835",568
ACEH,KOTA SUBULUSSALAM,1175,Usia 13-15tahun,"3,087",236
ACEH,KOTA SUBULUSSALAM,1175,Usia 16-18tahun,"1,839",862
SUMATERA UTARA,NIAS,1201,Usia 7-12tahun,"19,389","3,566"
SUMATERA UTARA,NIAS,1201,Usia 13-15tahun,"7,081","1,883"
SUMATERA UTARA,NIAS,1201,Usia 16-18tahun,"4,310","3,586"
SUMATERA UTARA,MANDAILING NATAL,1202,Usia 7-12tahun,"29,118","2,654"
SUMATERA UTARA,MANDAILING NATAL,1202,Usia 13-15tahun,"9,570","2,110"
SUMATERA UTARA,MANDAILING NATAL,1202,Usia 16-18tahun,"3,918","4,362"
SUMATERA UTARA,TAPANULI SELATAN,1203,Usia 7-12tahun,"15,542","1,344"
SUMATERA UTARA,TAPANULI SELATAN,1203,Usia 13-15tahun,"5,195",950
SUMATERA UTARA,TAPANULI SELATAN,1203,Usia 16-18tahun,"2,132","2,113"
SUMATERA UTARA,TAPANULI TENGAH,1204,Usia 7-12tahun,"26,935","2,766"
SUMATERA UTARA,TAPANULI TENGAH,1204,Usia 13-15tahun,"10,398","1,425"
SUMATERA UTARA,TAPANULI TENGAH,1204,Usia 16-18tahun,"5,603","3,409"
SUMATERA UTARA,TAPANULI UTARA,1205,Usia 7-12tahun,"23,877",847
SUMATERA UTARA,TAPANULI UTARA,1205,Usia 13-15tahun,"9,356",398
SUMATERA UTARA,TAPANULI UTARA,1205,Usia 16-18tahun,"4,910","1,990"
SUMATERA UTARA,TOBA SAMOSIR,1206,Usia 7-12tahun,"10,341",577
SUMATERA UTARA,TOBA SAMOSIR,1206,Usia 13-15tahun,"3,642",175
SUMATERA UTARA,TOBA SAMOSIR,1206,Usia 16-18tahun,"1,655",619
