Provinsi,NamaKab/Kota,KodeKab/Kota,Jumlah Rumah Tangga,Jumlah Individu,Tingkat Kesejahteraan
ACEH,SIMEULUE,1101,"6,647","27,023",Desil 1 *)
ACEH,SIMEULUE,1101,"2,886","10,360",Desil 2 *)
ACEH,SIMEULUE,1101,"1,150","4,253",Desil 3 *)
ACEH,SIMEULUE,1101,"1,083","4,104",Desil 4 *)
ACEH,ACEH SINGKIL,1102,"4,814","28,947",Desil 1 *)
ACEH,ACEH SINGKIL,1102,"2,940","12,735",Desil 2 *)
ACEH,ACEH SINGKIL,1102,"3,284","10,757",Desil 3 *)
ACEH,ACEH SINGKIL,1102,"1,429","3,850",Desil 4 *)
ACEH,ACEH SELATAN,1103,"5,982","28,668",Desil 1 *)
ACEH,ACEH SELATAN,1103,"7,703","29,873",Desil 2 *)
ACEH,ACEH SELATAN,1103,"8,392","28,905",Desil 3 *)
ACEH,ACEH SELATAN,1103,"7,318","28,341",Desil 4 *)
ACEH,ACEH TENGGARA,1104,"1,031","7,098",Desil 1 *)
ACEH,ACEH TENGGARA,1104,"2,480","14,675",Desil 2 *)
ACEH,ACEH TENGGARA,1104,"4,876","24,555",Desil 3 *)
ACEH,ACEH TENGGARA,1104,"7,199","30,063",Desil 4 *)
ACEH,ACEH TIMUR,1105,"8,265","52,456",Desil 1 *)
ACEH,ACEH TIMUR,1105,"9,583","48,113",Desil 2 *)
ACEH,ACEH TIMUR,1105,"17,661","71,661",Desil 3 *)
ACEH,ACEH TIMUR,1105,"12,080","33,746",Desil 4 *)
ACEH,ACEH TENGAH,1106,"3,081","15,896",Desil 1 *)
ACEH,ACEH TENGAH,1106,"6,812","28,059",Desil 2 *)
ACEH,ACEH TENGAH,1106,"6,754","21,333",Desil 3 *)
ACEH,ACEH TENGAH,1106,"3,152","7,230",Desil 4 *)
ACEH,ACEH BARAT,1107,"9,931","44,643",Desil 1 *)
ACEH,ACEH BARAT,1107,"6,431","20,752",Desil 2 *)
ACEH,ACEH BARAT,1107,"2,384","6,418",Desil 3 *)
ACEH,ACEH BARAT,1107,"1,196","3,343",Desil 4 *)
ACEH,ACEH BESAR,1108,"8,185","40,566",Desil 1 *)
ACEH,ACEH BESAR,1108,"11,816","46,576",Desil 2 *)
ACEH,ACEH BESAR,1108,"10,070","34,833",Desil 3 *)
ACEH,ACEH BESAR,1108,"9,440","33,554",Desil 4 *)
ACEH,PIDIE,1109,"5,511","32,480",Desil 1 *)
ACEH,PIDIE,1109,"8,918","45,130",Desil 2 *)
ACEH,PIDIE,1109,"19,282","82,073",Desil 3 *)
ACEH,PIDIE,1109,"16,395","55,192",Desil 4 *)
ACEH,BIREUEN,1110,"12,215","70,830",Desil 1 *)
ACEH,BIREUEN,1110,"12,293","56,668",Desil 2 *)
ACEH,BIREUEN,1110,"14,453","54,668",Desil 3 *)
ACEH,BIREUEN,1110,"14,261","41,458",Desil 4 *)
ACEH,ACEH UTARA,1111,"14,261","79,030",Desil 1 *)
ACEH,ACEH UTARA,1111,"18,908","85,576",Desil 2 *)
ACEH,ACEH UTARA,1111,"24,627","91,266",Desil 3 *)
ACEH,ACEH UTARA,1111,"22,826","73,329",Desil 4 *)
ACEH,ACEH BARAT DAYA,1112,"2,125","12,907",Desil 1 *)
ACEH,ACEH BARAT DAYA,1112,"3,925","19,509",Desil 2 *)
ACEH,ACEH BARAT DAYA,1112,"6,075","25,460",Desil 3 *)
ACEH,ACEH BARAT DAYA,1112,"5,948","20,003",Desil 4 *)
ACEH,GAYO LUES,1113,"1,087","6,179",Desil 1 *)
ACEH,GAYO LUES,1113,"1,270","6,182",Desil 2 *)
ACEH,GAYO LUES,1113,"2,342","10,199",Desil 3 *)
ACEH,GAYO LUES,1113,"3,175","11,872",Desil 4 *)
ACEH,ACEH TAMIANG,1114,"6,115","31,186",Desil 1 *)
ACEH,ACEH TAMIANG,1114,"8,658","33,779",Desil 2 *)
ACEH,ACEH TAMIANG,1114,"11,039","35,605",Desil 3 *)
ACEH,ACEH TAMIANG,1114,"2,943","10,095",Desil 4 *)
ACEH,NAGAN RAYA,1115,"5,328","22,634",Desil 1 *)
ACEH,NAGAN RAYA,1115,"5,477","18,232",Desil 2 *)
ACEH,NAGAN RAYA,1115,"5,187","15,194",Desil 3 *)
ACEH,NAGAN RAYA,1115,"3,746","12,558",Desil 4 *)
ACEH,ACEH JAYA,1116,680,"4,078",Desil 1 *)
ACEH,ACEH JAYA,1116,"1,634","7,981",Desil 2 *)
ACEH,ACEH JAYA,1116,"3,004","11,694",Desil 3 *)
ACEH,ACEH JAYA,1116,"2,634","7,043",Desil 4 *)
ACEH,BENER MERIAH,1117,121,724,Desil 1 *)
ACEH,BENER MERIAH,1117,937,"4,858",Desil 2 *)
ACEH,BENER MERIAH,1117,"3,234","14,400",Desil 3 *)
ACEH,BENER MERIAH,1117,"5,186","19,952",Desil 4 *)
ACEH,PIDIE JAYA,1118,"2,189","12,266",Desil 1 *)
ACEH,PIDIE JAYA,1118,"4,963","23,975",Desil 2 *)
ACEH,PIDIE JAYA,1118,"5,656","23,200",Desil 3 *)
ACEH,PIDIE JAYA,1118,"6,175","21,042",Desil 4 *)
ACEH,KOTA BANDA ACEH,1171,"1,217","6,312",Desil 1 *)
ACEH,KOTA BANDA ACEH,1171,"3,088","13,574",Desil 2 *)
ACEH,KOTA BANDA ACEH,1171,"2,088","8,258",Desil 3 *)
ACEH,KOTA BANDA ACEH,1171,"2,027","7,197",Desil 4 *)
ACEH,KOTA SABANG,1172,453,"2,112",Desil 1 *)
ACEH,KOTA SABANG,1172,449,"1,883",Desil 2 *)
ACEH,KOTA SABANG,1172,517,"2,077",Desil 3 *)
ACEH,KOTA SABANG,1172,834,"3,010",Desil 4 *)
ACEH,KOTA LANGSA,1173,947,"5,961",Desil 1 *)
ACEH,KOTA LANGSA,1173,"1,920","10,645",Desil 2 *)
ACEH,KOTA LANGSA,1173,"2,759","13,787",Desil 3 *)
ACEH,KOTA LANGSA,1173,"4,064","17,687",Desil 4 *)
ACEH,KOTA LHOKSEUMAWE,1174,450,"3,122",Desil 1 *)
ACEH,KOTA LHOKSEUMAWE,1174,"1,957","11,897",Desil 2 *)
ACEH,KOTA LHOKSEUMAWE,1174,"4,413","22,381",Desil 3 *)
ACEH,KOTA LHOKSEUMAWE,1174,"5,363","21,019",Desil 4 *)
ACEH,KOTA SUBULUSSALAM,1175,757,"5,052",Desil 1 *)
ACEH,KOTA SUBULUSSALAM,1175,"1,265","7,310",Desil 2 *)
ACEH,KOTA SUBULUSSALAM,1175,"2,934","13,850",Desil 3 *)
ACEH,KOTA SUBULUSSALAM,1175,"2,354","8,760",Desil 4 *)
SUMATERA UTARA,NIAS,1201,"10,222","64,808",Desil 1 *)
SUMATERA UTARA,NIAS,1201,"4,270","19,550",Desil 2 *)
SUMATERA UTARA,NIAS,1201,"3,848","14,077",Desil 3 *)
SUMATERA UTARA,NIAS,1201,"2,663","9,385",Desil 4 *)
SUMATERA UTARA,MANDAILING NATAL,1202,"2,435","15,288",Desil 1 *)
SUMATERA UTARA,MANDAILING NATAL,1202,"4,397","24,069",Desil 2 *)
SUMATERA UTARA,MANDAILING NATAL,1202,"10,463","49,102",Desil 3 *)
SUMATERA UTARA,MANDAILING NATAL,1202,"14,267","52,287",Desil 4 *)
SUMATERA UTARA,TAPANULI SELATAN,1203,752,"4,951",Desil 1 *)
SUMATERA UTARA,TAPANULI SELATAN,1203,"4,004","19,360",Desil 2 *)
SUMATERA UTARA,TAPANULI SELATAN,1203,"7,902","26,127",Desil 3 *)
SUMATERA UTARA,TAPANULI SELATAN,1203,"7,416","26,857",Desil 4 *)
SUMATERA UTARA,TAPANULI TENGAH,1204,"8,248","49,131",Desil 1 *)
SUMATERA UTARA,TAPANULI TENGAH,1204,"10,073","44,587",Desil 2 *)
SUMATERA UTARA,TAPANULI TENGAH,1204,"7,450","24,951",Desil 3 *)
SUMATERA UTARA,TAPANULI TENGAH,1204,"3,916","13,967",Desil 4 *)
SUMATERA UTARA,TAPANULI UTARA,1205,"4,082","25,952",Desil 1 *)
SUMATERA UTARA,TAPANULI UTARA,1205,"6,529","34,216",Desil 2 *)
SUMATERA UTARA,TAPANULI UTARA,1205,"9,673","35,993",Desil 3 *)
SUMATERA UTARA,TAPANULI UTARA,1205,"5,754","17,113",Desil 4 *)
SUMATERA UTARA,TOBA SAMOSIR,1206,208,"1,434",Desil 1 *)
SUMATERA UTARA,TOBA SAMOSIR,1206,"1,073","6,776",Desil 2 *)
SUMATERA UTARA,TOBA SAMOSIR,1206,"2,200","12,482",Desil 3 *)
SUMATERA UTARA,TOBA SAMOSIR,1206,"4,945","22,547",Desil 4 *)
SUMATERA UTARA,LABUHAN BATU,1207,"2,394","14,960",Desil 1 *)
SUMATERA UTARA,LABUHAN BATU,1207,"3,737","19,314",Desil 2 *)
SUMATERA UTARA,LABUHAN BATU,1207,"9,875","40,391",Desil 3 *)
