Provinsi,NamaKab/Kota,KodeKab/Kota,Status tempat tinggal,Jumlah rumah tangga
ACEH,SIMEULUE,1101,Milik Sendiri,"10,756"
ACEH,SIMEULUE,1101,Kontrak/Sewa,101
ACEH,SIMEULUE,1101,Bebas Sewa,798
ACEH,ACEH SINGKIL,1102,Milik Sendiri,"10,287"
ACEH,ACEH SINGKIL,1102,Kontrak/Sewa,368
ACEH,ACEH SINGKIL,1102,Bebas Sewa,"1,391"
ACEH,ACEH SELATAN,1103,Milik Sendiri,"25,008"
ACEH,ACEH SELATAN,1103,Kontrak/Sewa,766
ACEH,ACEH SELATAN,1103,Bebas Sewa,"3,304"
ACEH,ACEH TENGGARA,1104,Milik Sendiri,"11,158"
ACEH,ACEH TENGGARA,1104,Kontrak/Sewa,"1,255"
ACEH,ACEH TENGGARA,1104,Bebas Sewa,"2,854"
ACEH,ACEH TIMUR,1105,Milik Sendiri,"41,713"
ACEH,ACEH TIMUR,1105,Kontrak/Sewa,885
ACEH,ACEH TIMUR,1105,Bebas Sewa,"4,215"
ACEH,ACEH TENGAH,1106,Milik Sendiri,"15,070"
ACEH,ACEH TENGAH,1106,Kontrak/Sewa,"1,385"
ACEH,ACEH TENGAH,1106,Bebas Sewa,"3,113"
ACEH,ACEH BARAT,1107,Milik Sendiri,"18,270"
ACEH,ACEH BARAT,1107,Kontrak/Sewa,338
ACEH,ACEH BARAT,1107,Bebas Sewa,"1,177"
ACEH,ACEH BESAR,1108,Milik Sendiri,"34,134"
ACEH,ACEH BESAR,1108,Kontrak/Sewa,971
ACEH,ACEH BESAR,1108,Bebas Sewa,"3,887"
ACEH,PIDIE,1109,Milik Sendiri,"40,500"
ACEH,PIDIE,1109,Kontrak/Sewa,565
ACEH,PIDIE,1109,Bebas Sewa,"8,671"
ACEH,BIREUEN,1110,Milik Sendiri,"46,555"
ACEH,BIREUEN,1110,Kontrak/Sewa,"1,208"
ACEH,BIREUEN,1110,Bebas Sewa,"4,730"
ACEH,ACEH UTARA,1111,Milik Sendiri,"72,399"
ACEH,ACEH UTARA,1111,Kontrak/Sewa,999
ACEH,ACEH UTARA,1111,Bebas Sewa,"6,255"
ACEH,ACEH BARAT DAYA,1112,Milik Sendiri,"15,359"
ACEH,ACEH BARAT DAYA,1112,Kontrak/Sewa,570
ACEH,ACEH BARAT DAYA,1112,Bebas Sewa,"2,097"
ACEH,GAYO LUES,1113,Milik Sendiri,"6,505"
ACEH,GAYO LUES,1113,Kontrak/Sewa,282
ACEH,GAYO LUES,1113,Bebas Sewa,"1,027"
ACEH,ACEH TAMIANG,1114,Milik Sendiri,"23,201"
ACEH,ACEH TAMIANG,1114,Kontrak/Sewa,989
ACEH,ACEH TAMIANG,1114,Bebas Sewa,"3,787"
ACEH,NAGAN RAYA,1115,Milik Sendiri,"16,828"
ACEH,NAGAN RAYA,1115,Kontrak/Sewa,324
ACEH,NAGAN RAYA,1115,Bebas Sewa,"2,234"
ACEH,ACEH JAYA,1116,Milik Sendiri,"7,178"
ACEH,ACEH JAYA,1116,Kontrak/Sewa,68
ACEH,ACEH JAYA,1116,Bebas Sewa,684
ACEH,BENER MERIAH,1117,Milik Sendiri,"7,474"
ACEH,BENER MERIAH,1117,Kontrak/Sewa,483
ACEH,BENER MERIAH,1117,Bebas Sewa,"1,407"
ACEH,PIDIE JAYA,1118,Milik Sendiri,"16,826"
ACEH,PIDIE JAYA,1118,Kontrak/Sewa,293
ACEH,PIDIE JAYA,1118,Bebas Sewa,"1,770"
ACEH,KOTA BANDA ACEH,1171,Milik Sendiri,"5,441"
ACEH,KOTA BANDA ACEH,1171,Kontrak/Sewa,"1,219"
ACEH,KOTA BANDA ACEH,1171,Bebas Sewa,"1,676"
ACEH,KOTA SABANG,1172,Milik Sendiri,"1,689"
ACEH,KOTA SABANG,1172,Kontrak/Sewa,116
ACEH,KOTA SABANG,1172,Bebas Sewa,432
ACEH,KOTA LANGSA,1173,Milik Sendiri,"6,308"
ACEH,KOTA LANGSA,1173,Kontrak/Sewa,"1,143"
ACEH,KOTA LANGSA,1173,Bebas Sewa,"2,070"
ACEH,KOTA LHOKSEUMAWE,1174,Milik Sendiri,"9,381"
ACEH,KOTA LHOKSEUMAWE,1174,Kontrak/Sewa,"1,327"
ACEH,KOTA LHOKSEUMAWE,1174,Bebas Sewa,"1,396"
ACEH,KOTA SUBULUSSALAM,1175,Milik Sendiri,"6,256"
ACEH,KOTA SUBULUSSALAM,1175,Kontrak/Sewa,234
ACEH,KOTA SUBULUSSALAM,1175,Bebas Sewa,624
SUMATERA UTARA,NIAS,1201,Milik Sendiri,"18,425"
SUMATERA UTARA,NIAS,1201,Kontrak/Sewa,192
SUMATERA UTARA,NIAS,1201,Bebas Sewa,"2,131"
SUMATERA UTARA,MANDAILING NATAL,1202,Milik Sendiri,"22,522"
SUMATERA UTARA,MANDAILING NATAL,1202,Kontrak/Sewa,"4,370"
SUMATERA UTARA,MANDAILING NATAL,1202,Bebas Sewa,"4,566"
SUMATERA UTARA,TAPANULI SELATAN,1203,Milik Sendiri,"13,625"
SUMATERA UTARA,TAPANULI SELATAN,1203,Kontrak/Sewa,"2,650"
SUMATERA UTARA,TAPANULI SELATAN,1203,Bebas Sewa,"3,384"
SUMATERA UTARA,TAPANULI TENGAH,1204,Milik Sendiri,"20,690"
SUMATERA UTARA,TAPANULI TENGAH,1204,Kontrak/Sewa,"3,192"
SUMATERA UTARA,TAPANULI TENGAH,1204,Bebas Sewa,"5,383"
SUMATERA UTARA,TAPANULI UTARA,1205,Milik Sendiri,"17,502"
SUMATERA UTARA,TAPANULI UTARA,1205,Kontrak/Sewa,"1,523"
SUMATERA UTARA,TAPANULI UTARA,1205,Bebas Sewa,"5,561"
SUMATERA UTARA,TOBA SAMOSIR,1206,Milik Sendiri,"4,693"
SUMATERA UTARA,TOBA SAMOSIR,1206,Kontrak/Sewa,787
SUMATERA UTARA,TOBA SAMOSIR,1206,Bebas Sewa,"2,778"
SUMATERA UTARA,LABUHAN BATU,1207,Milik Sendiri,"17,615"
SUMATERA UTARA,LABUHAN BATU,1207,Kontrak/Sewa,"2,180"
SUMATERA UTARA,LABUHAN BATU,1207,Bebas Sewa,"3,022"
SUMATERA UTARA,ASAHAN,1208,Milik Sendiri,"24,967"
SUMATERA UTARA,ASAHAN,1208,Kontrak/Sewa,"2,373"
SUMATERA UTARA,ASAHAN,1208,Bebas Sewa,"5,741"
SUMATERA UTARA,SIMALUNGUN,1209,Milik Sendiri,"28,873"
SUMATERA UTARA,SIMALUNGUN,1209,Kontrak/Sewa,"3,030"
SUMATERA UTARA,SIMALUNGUN,1209,Bebas Sewa,"9,621"
SUMATERA UTARA,DAIRI,1210,Milik Sendiri,"12,293"
SUMATERA UTARA,DAIRI,1210,Kontrak/Sewa,"2,221"
SUMATERA UTARA,DAIRI,1210,Bebas Sewa,"2,591"
SUMATERA UTARA,KARO,1211,Milik Sendiri,"7,919"
SUMATERA UTARA,KARO,1211,Kontrak/Sewa,"9,685"
SUMATERA UTARA,KARO,1211,Bebas Sewa,"4,566"
SUMATERA UTARA,DELI SERDANG,1212,Milik Sendiri,"70,349"
SUMATERA UTARA,DELI SERDANG,1212,Kontrak/Sewa,"10,489"
SUMATERA UTARA,DELI SERDANG,1212,Bebas Sewa,"27,209"
SUMATERA UTARA,LANGKAT,1213,Milik Sendiri,"66,126"
SUMATERA UTARA,LANGKAT,1213,Kontrak/Sewa,"5,086"
SUMATERA UTARA,LANGKAT,1213,Bebas Sewa,"23,500"
SUMATERA UTARA,NIAS SELATAN,1214,Milik Sendiri,"39,853"
SUMATERA UTARA,NIAS SELATAN,1214,Kontrak/Sewa,243
SUMATERA UTARA,NIAS SELATAN,1214,Bebas Sewa,"3,364"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Milik Sendiri,"9,714"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Kontrak/Sewa,272
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Bebas Sewa,"3,004"
SUMATERA UTARA,PAKPAK BHARAT,1216,Milik Sendiri,"2,071"
SUMATERA UTARA,PAKPAK BHARAT,1216,Kontrak/Sewa,19
SUMATERA UTARA,PAKPAK BHARAT,1216,Bebas Sewa,227
SUMATERA UTARA,SAMOSIR,1217,Milik Sendiri,"3,415"
SUMATERA UTARA,SAMOSIR,1217,Kontrak/Sewa,292
SUMATERA UTARA,SAMOSIR,1217,Bebas Sewa,"2,679"
SUMATERA UTARA,SERDANG BEDAGAI,1218,Milik Sendiri,"26,877"
SUMATERA UTARA,SERDANG BEDAGAI,1218,Kontrak/Sewa,"1,836"
SUMATERA UTARA,SERDANG BEDAGAI,1218,Bebas Sewa,"6,985"
SUMATERA UTARA,BATU BARA,1219,Milik Sendiri,"33,155"
SUMATERA UTARA,BATU BARA,1219,Kontrak/Sewa,"2,338"
SUMATERA UTARA,BATU BARA,1219,Bebas Sewa,"7,364"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Milik Sendiri,"8,824"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Kontrak/Sewa,395
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Bebas Sewa,"1,912"
SUMATERA UTARA,PADANG LAWAS,1221,Milik Sendiri,"13,139"
SUMATERA UTARA,PADANG LAWAS,1221,Kontrak/Sewa,892
SUMATERA UTARA,PADANG LAWAS,1221,Bebas Sewa,"2,650"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Milik Sendiri,"5,880"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Kontrak/Sewa,868
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Bebas Sewa,"1,904"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Milik Sendiri,"14,956"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Kontrak/Sewa,903
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Bebas Sewa,"3,127"
SUMATERA UTARA,NIAS UTARA,1224,Milik Sendiri,"19,778"
SUMATERA UTARA,NIAS UTARA,1224,Kontrak/Sewa,88
SUMATERA UTARA,NIAS UTARA,1224,Bebas Sewa,"2,750"
SUMATERA UTARA,NIAS BARAT,1225,Milik Sendiri,"11,686"
SUMATERA UTARA,NIAS BARAT,1225,Kontrak/Sewa,59
SUMATERA UTARA,NIAS BARAT,1225,Bebas Sewa,"1,943"
SUMATERA UTARA,KOTA SIBOLGA,1271,Milik Sendiri,"1,782"
SUMATERA UTARA,KOTA SIBOLGA,1271,Kontrak/Sewa,"2,274"
SUMATERA UTARA,KOTA SIBOLGA,1271,Bebas Sewa,"1,346"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Milik Sendiri,"8,377"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Kontrak/Sewa,"3,170"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Bebas Sewa,"2,678"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Milik Sendiri,"7,499"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Kontrak/Sewa,"5,599"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Bebas Sewa,"4,511"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Milik Sendiri,"5,407"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Kontrak/Sewa,"2,467"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Bebas Sewa,"2,576"
SUMATERA UTARA,KOTA MEDAN,1275,Milik Sendiri,"52,119"
SUMATERA UTARA,KOTA MEDAN,1275,Kontrak/Sewa,"29,251"
SUMATERA UTARA,KOTA MEDAN,1275,Bebas Sewa,"27,266"
SUMATERA UTARA,KOTA BINJAI,1276,Milik Sendiri,"9,965"
SUMATERA UTARA,KOTA BINJAI,1276,Kontrak/Sewa,"2,023"
SUMATERA UTARA,KOTA BINJAI,1276,Bebas Sewa,"3,764"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Milik Sendiri,"4,946"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Kontrak/Sewa,"3,527"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Bebas Sewa,"1,986"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Milik Sendiri,"11,072"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Kontrak/Sewa,355
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Bebas Sewa,"2,284"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Milik Sendiri,"7,752"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Kontrak/Sewa,33
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Bebas Sewa,187
SUMATERA BARAT,PESISIR SELATAN,1302,Milik Sendiri,"30,268"
SUMATERA BARAT,PESISIR SELATAN,1302,Kontrak/Sewa,579
SUMATERA BARAT,PESISIR SELATAN,1302,Bebas Sewa,"6,350"
SUMATERA BARAT,SOLOK,1303,Milik Sendiri,"22,971"
SUMATERA BARAT,SOLOK,1303,Kontrak/Sewa,705
SUMATERA BARAT,SOLOK,1303,Bebas Sewa,"5,206"
SUMATERA BARAT,SIJUNJUNG,1304,Milik Sendiri,"10,599"
SUMATERA BARAT,SIJUNJUNG,1304,Kontrak/Sewa,96
SUMATERA BARAT,SIJUNJUNG,1304,Bebas Sewa,"1,074"
SUMATERA BARAT,TANAH DATAR,1305,Milik Sendiri,"13,314"
SUMATERA BARAT,TANAH DATAR,1305,Kontrak/Sewa,431
SUMATERA BARAT,TANAH DATAR,1305,Bebas Sewa,"5,309"
SUMATERA BARAT,PADANG PARIAMAN,1306,Milik Sendiri,"22,421"
SUMATERA BARAT,PADANG PARIAMAN,1306,Kontrak/Sewa,493
SUMATERA BARAT,PADANG PARIAMAN,1306,Bebas Sewa,"4,919"
SUMATERA BARAT,AGAM,1307,Milik Sendiri,"14,104"
SUMATERA BARAT,AGAM,1307,Kontrak/Sewa,665
SUMATERA BARAT,AGAM,1307,Bebas Sewa,"5,442"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Milik Sendiri,"25,923"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Kontrak/Sewa,474
SUMATERA BARAT,LIMA PULUH KOTA,1308,Bebas Sewa,"4,682"
SUMATERA BARAT,PASAMAN,1309,Milik Sendiri,"17,952"
SUMATERA BARAT,PASAMAN,1309,Kontrak/Sewa,"1,669"
SUMATERA BARAT,PASAMAN,1309,Bebas Sewa,"5,387"
SUMATERA BARAT,SOLOK SELATAN,1310,Milik Sendiri,"7,542"
SUMATERA BARAT,SOLOK SELATAN,1310,Kontrak/Sewa,116
SUMATERA BARAT,SOLOK SELATAN,1310,Bebas Sewa,"1,458"
