Provinsi,NamaKab/Kota,KodeKab/Kota,Sumber air minum,Jumlah rumah tangga
ACEH,SIMEULUE,1101,Air Kemasan,"1,081"
ACEH,SIMEULUE,1101,Air Ledeng,129
ACEH,SIMEULUE,1101,Sumber Terlindung,"3,906"
ACEH,SIMEULUE,1101,Sumber Tidak Terlindung,"6,650"
ACEH,ACEH SINGKIL,1102,Air Kemasan,777
ACEH,ACEH SINGKIL,1102,Air Ledeng,"1,085"
ACEH,ACEH SINGKIL,1102,Sumber Terlindung,"3,142"
ACEH,ACEH SINGKIL,1102,Sumber Tidak Terlindung,"7,463"
ACEH,ACEH SELATAN,1103,Air Kemasan,"1,135"
ACEH,ACEH SELATAN,1103,Air Ledeng,812
ACEH,ACEH SELATAN,1103,Sumber Terlindung,"16,574"
ACEH,ACEH SELATAN,1103,Sumber Tidak Terlindung,"10,874"
ACEH,ACEH TENGGARA,1104,Air Kemasan,191
ACEH,ACEH TENGGARA,1104,Air Ledeng,574
ACEH,ACEH TENGGARA,1104,Sumber Terlindung,"9,080"
ACEH,ACEH TENGGARA,1104,Sumber Tidak Terlindung,"5,741"
ACEH,ACEH TIMUR,1105,Air Kemasan,"3,414"
ACEH,ACEH TIMUR,1105,Air Ledeng,"4,554"
ACEH,ACEH TIMUR,1105,Sumber Terlindung,"17,418"
ACEH,ACEH TIMUR,1105,Sumber Tidak Terlindung,"22,203"
ACEH,ACEH TENGAH,1106,Air Kemasan,"1,053"
ACEH,ACEH TENGAH,1106,Air Ledeng,"1,503"
ACEH,ACEH TENGAH,1106,Sumber Terlindung,"10,178"
ACEH,ACEH TENGAH,1106,Sumber Tidak Terlindung,"7,065"
ACEH,ACEH BARAT,1107,Air Kemasan,"1,904"
ACEH,ACEH BARAT,1107,Air Ledeng,313
ACEH,ACEH BARAT,1107,Sumber Terlindung,"10,073"
ACEH,ACEH BARAT,1107,Sumber Tidak Terlindung,"7,652"
ACEH,ACEH BESAR,1108,Air Kemasan,"11,310"
ACEH,ACEH BESAR,1108,Air Ledeng,"2,014"
ACEH,ACEH BESAR,1108,Sumber Terlindung,"21,377"
ACEH,ACEH BESAR,1108,Sumber Tidak Terlindung,"4,810"
ACEH,PIDIE,1109,Air Kemasan,"4,245"
ACEH,PIDIE,1109,Air Ledeng,"1,160"
ACEH,PIDIE,1109,Sumber Terlindung,"35,002"
ACEH,PIDIE,1109,Sumber Tidak Terlindung,"9,699"
ACEH,BIREUEN,1110,Air Kemasan,"3,521"
ACEH,BIREUEN,1110,Air Ledeng,"4,411"
ACEH,BIREUEN,1110,Sumber Terlindung,"29,752"
ACEH,BIREUEN,1110,Sumber Tidak Terlindung,"15,538"
ACEH,ACEH UTARA,1111,Air Kemasan,"3,251"
ACEH,ACEH UTARA,1111,Air Ledeng,"4,911"
ACEH,ACEH UTARA,1111,Sumber Terlindung,"34,327"
ACEH,ACEH UTARA,1111,Sumber Tidak Terlindung,"38,128"
ACEH,ACEH BARAT DAYA,1112,Air Kemasan,947
ACEH,ACEH BARAT DAYA,1112,Air Ledeng,347
ACEH,ACEH BARAT DAYA,1112,Sumber Terlindung,"12,419"
ACEH,ACEH BARAT DAYA,1112,Sumber Tidak Terlindung,"4,360"
ACEH,GAYO LUES,1113,Air Kemasan,255
ACEH,GAYO LUES,1113,Air Ledeng,484
ACEH,GAYO LUES,1113,Sumber Terlindung,"3,747"
ACEH,GAYO LUES,1113,Sumber Tidak Terlindung,"3,388"
ACEH,ACEH TAMIANG,1114,Air Kemasan,"7,036"
ACEH,ACEH TAMIANG,1114,Air Ledeng,"1,874"
ACEH,ACEH TAMIANG,1114,Sumber Terlindung,"12,074"
ACEH,ACEH TAMIANG,1114,Sumber Tidak Terlindung,"7,771"
ACEH,NAGAN RAYA,1115,Air Kemasan,417
ACEH,NAGAN RAYA,1115,Air Ledeng,29
ACEH,NAGAN RAYA,1115,Sumber Terlindung,"11,859"
ACEH,NAGAN RAYA,1115,Sumber Tidak Terlindung,"7,433"
ACEH,ACEH JAYA,1116,Air Kemasan,470
ACEH,ACEH JAYA,1116,Air Ledeng,219
ACEH,ACEH JAYA,1116,Sumber Terlindung,"4,923"
ACEH,ACEH JAYA,1116,Sumber Tidak Terlindung,"2,340"
ACEH,BENER MERIAH,1117,Air Kemasan,194
ACEH,BENER MERIAH,1117,Air Ledeng,"1,321"
ACEH,BENER MERIAH,1117,Sumber Terlindung,"4,904"
ACEH,BENER MERIAH,1117,Sumber Tidak Terlindung,"3,058"
ACEH,PIDIE JAYA,1118,Air Kemasan,"2,873"
ACEH,PIDIE JAYA,1118,Air Ledeng,"1,762"
ACEH,PIDIE JAYA,1118,Sumber Terlindung,"10,901"
ACEH,PIDIE JAYA,1118,Sumber Tidak Terlindung,"3,447"
ACEH,KOTA BANDA ACEH,1171,Air Kemasan,"7,228"
ACEH,KOTA BANDA ACEH,1171,Air Ledeng,646
ACEH,KOTA BANDA ACEH,1171,Sumber Terlindung,522
ACEH,KOTA BANDA ACEH,1171,Sumber Tidak Terlindung,24
ACEH,KOTA SABANG,1172,Air Kemasan,"1,312"
ACEH,KOTA SABANG,1172,Air Ledeng,274
ACEH,KOTA SABANG,1172,Sumber Terlindung,422
ACEH,KOTA SABANG,1172,Sumber Tidak Terlindung,245
ACEH,KOTA LANGSA,1173,Air Kemasan,"3,477"
ACEH,KOTA LANGSA,1173,Air Ledeng,601
ACEH,KOTA LANGSA,1173,Sumber Terlindung,"5,118"
ACEH,KOTA LANGSA,1173,Sumber Tidak Terlindung,493
ACEH,KOTA LHOKSEUMAWE,1174,Air Kemasan,"5,934"
ACEH,KOTA LHOKSEUMAWE,1174,Air Ledeng,661
ACEH,KOTA LHOKSEUMAWE,1174,Sumber Terlindung,"4,524"
ACEH,KOTA LHOKSEUMAWE,1174,Sumber Tidak Terlindung,"1,064"
ACEH,KOTA SUBULUSSALAM,1175,Air Kemasan,265
ACEH,KOTA SUBULUSSALAM,1175,Air Ledeng,303
ACEH,KOTA SUBULUSSALAM,1175,Sumber Terlindung,822
ACEH,KOTA SUBULUSSALAM,1175,Sumber Tidak Terlindung,"5,920"
ACEH,TOTAL,"62,290",Air Kemasan,"29,987"
ACEH,TOTAL,"62,290",Air Ledeng,"263,064"
ACEH,TOTAL,"62,290",Sumber Terlindung,"175,366"
SUMATERA UTARA,NIAS,1201,Air Kemasan,51
SUMATERA UTARA,NIAS,1201,Air Ledeng,96
SUMATERA UTARA,NIAS,1201,Sumber Terlindung,"1,772"
SUMATERA UTARA,NIAS,1201,Sumber Tidak Terlindung,"19,084"
SUMATERA UTARA,MANDAILING NATAL,1202,Air Kemasan,398
SUMATERA UTARA,MANDAILING NATAL,1202,Air Ledeng,128
