Provinsi,NamaKab/Kota,KodeKab/Kota,Sumber air minum,Jumlah rumah tangga
ACEH,SIMEULUE,1101,Listrik PLN,"11,279"
ACEH,SIMEULUE,1101,Listrik non-PLN,88
ACEH,SIMEULUE,1101,Tidak ada listrik,399
ACEH,ACEH SINGKIL,1102,Listrik PLN,"11,797"
ACEH,ACEH SINGKIL,1102,Listrik non-PLN,266
ACEH,ACEH SINGKIL,1102,Tidak ada listrik,404
ACEH,ACEH SELATAN,1103,Listrik PLN,"27,762"
ACEH,ACEH SELATAN,1103,Listrik non-PLN,200
ACEH,ACEH SELATAN,1103,Tidak ada listrik,"1,433"
ACEH,ACEH TENGGARA,1104,Listrik PLN,"14,169"
ACEH,ACEH TENGGARA,1104,Listrik non-PLN,220
ACEH,ACEH TENGGARA,1104,Tidak ada listrik,"1,197"
ACEH,ACEH TIMUR,1105,Listrik PLN,"43,664"
ACEH,ACEH TIMUR,1105,Listrik non-PLN,804
ACEH,ACEH TIMUR,1105,Tidak ada listrik,"3,121"
ACEH,ACEH TENGAH,1106,Listrik PLN,"18,416"
ACEH,ACEH TENGAH,1106,Listrik non-PLN,421
ACEH,ACEH TENGAH,1106,Tidak ada listrik,962
ACEH,ACEH BARAT,1107,Listrik PLN,"18,835"
ACEH,ACEH BARAT,1107,Listrik non-PLN,125
ACEH,ACEH BARAT,1107,Tidak ada listrik,982
ACEH,ACEH BESAR,1108,Listrik PLN,"38,484"
ACEH,ACEH BESAR,1108,Listrik non-PLN,202
ACEH,ACEH BESAR,1108,Tidak ada listrik,825
ACEH,PIDIE,1109,Listrik PLN,"47,911"
ACEH,PIDIE,1109,Listrik non-PLN,257
ACEH,PIDIE,1109,Tidak ada listrik,"1,938"
ACEH,BIREUEN,1110,Listrik PLN,"50,023"
ACEH,BIREUEN,1110,Listrik non-PLN,422
ACEH,BIREUEN,1110,Tidak ada listrik,"2,777"
ACEH,ACEH UTARA,1111,Listrik PLN,"76,820"
ACEH,ACEH UTARA,1111,Listrik non-PLN,639
ACEH,ACEH UTARA,1111,Tidak ada listrik,"3,163"
ACEH,ACEH BARAT DAYA,1112,Listrik PLN,"17,414"
ACEH,ACEH BARAT DAYA,1112,Listrik non-PLN,125
